GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports
,39.558,,2.479516591,,,,,230
,42.374,,3.987886048,,,,,1202
5.533804396,67.686,,1.606684604,30.63044137,,,,3930.7
,70.519,,0.481936625,,,,,
4.105459418,72.23609756,,2.531220259,16.4054576,,,,11015.9
,69.756,,0.642585338,,,,,86.0341
8.153938685,60.513,,2.364459527,34.80018569,,,,7951
,28.04,,1.122636655,,,,,19
,73.23756098,,1.396021669,15.19809743,,,,34507.6
2.310000003,63.134,,2.065955013,0.277735673,,,,7107.89
0.984491816,71.707,,1.536634618,11.85888112,,,,2660
11.20850963,60.258,,2.808791611,52.47955888,,,,1123.5
4.300919143,72.60487805,,0.720023852,11.82165351,,,,46259.3
0.890068741,71.19541463,,0.038969223,7.275290202,,,,89368.4
1.185336255,50.374,,2.331906417,16.66751573,,,,3926.4
,71.66170732,,2.975426108,35.49811447,,,,1824.8
5.500141101,72.73439024,,0.654388936,20.24637988,,,,30464.7
5.77682723,63.378,,2.874440397,23.11210095,,,,2957.69
5.596049945,54.066,,2.116192076,23.89823584,,,,1707.74
3.923010202,74.75365854,,0.620349415,11.37113673,,,,6281.94
9.386834919,56.994,,2.708053712,15.23343533,,,,1503.3
3.394606379,63.185,,2.833417716,32.59974142,,,,2724.91
5.618785814,72.9697561,,1.09260761,15.94510943,,,,7090.98
-2.484404003,72.52439024,,0.06305921,15.03444716,,,,38196.6
-0.540551652,71.95609756,,0.913660196,8.983063068,,,,99437
,60.112,,2.236503082,,,,,25
,43.923,,-1.39341634,,,,,694
-4.400001219,44.404,,3.524002469,,1528.363089,100.315363,220.648505,1856
-5.189789141,69.777,,1.571941814,106.364099,782.297622,6563.483263,1794.027091,9143
,72.538,,0.769119805,,8507.709846,,,
3.338807333,74.66341463,,1.586852569,9.524514667,70.683231,9319.038285,3499.316989,21477
-1.899751571,72.618,,0.359117938,,3354.999411,45.946409,125.412507,195
-4.25,62.976,,2.355192712,107.2140338,,11494.31234,8106.445781,23293
,33.342,,0.834453451,,17833.50207,,,10
,75.46341463,,1.233397255,10.77663486,6039,15359.06394,34480.2328,72726
5.112761091,67.26,,1.280952344,2.299815098,,4457,10612,22007
19.68833433,74.004,,0.50064039,-2.536947713,1345.058686,,,5406
5.61286412,64.089,,2.575940797,15.49144586,8016.683545,750.084848,72.797771,2451.4
1.069019839,74.3,,0.486055129,11.69571584,11817.124,19605.20517,73259.04249,106424
0.529240557,72.95039024,,0.152308489,4.175238767,496.153446,12475.87301,147376.349,176047
6.006203626,54.268,,2.323758727,10.82758198,134.783076,2840.702996,4935.159993,8295.3
,74.26097561,,1.991385694,124.6213608,5918.459465,951.136952,4576.629802,5670
0.844227607,74.35390244,,0.12005432,18.78722596,15855.31135,6671.986811,62578.45883,77070
8.525606663,67.031,,2.400447869,26.00945817,1013.19465,2150.195707,5264.16525,23307
-1.74343493,58.339,,2.420214242,9.470476914,,652.518,653.816976,2386
1.598274364,75.86902439,,0.344079656,12.87923385,10757.84377,1698.707684,5461.042555,18217.3
5.552041815,60.804,,2.464233418,65.33058094,1499.385883,450.077213,385.995986,3255
