"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Sri Lanka",19.375,6.25098783,3.475825037,75.037,67516236338,1.482315455,46929,98,0.7467036,2.5,4.721999379,"0"
"Lesotho",4.25,5.737173828,3.58992357599457,42.854,39697891352,-1.187947957,24412.2367,95,0.8172772,4.8,49.9,"0"
"Lithuania",4.070000172,2.312458618,3.58992357599457,70.9,51587401416,1.544386847,22933.29608,99,1.482909,8.4,78.92,"0"
"Luxembourg",3.269999981,5.571496891,-0.876716129,79.38292683,18439876056,2.143709108,36306.9117408967,77.7771739130435,0.4568598,2.8054347826087,47.327,"0"
"Morocco",3.230000019,2.027353178,1.456735347,73.009,1.94e+11,1.959209547,175965.65,97,0.1937732,5.1,55.7,"0"
"Moldova",9.868000031,6.794773539,0.12489469,68.302,1868383461,2.318936617,1096.29,98,0.0831243,3.3,16.3,"0"
"Madagascar",11.71000004,1.412002017,0.188054616,62.079,8156532186,3.337340341,1556.252,74,0.2309478,2.7,0.81,"0"
"Maldives",6.46999979,1.249219238,3.866031641,74.621,7925371475,0.348755082,4801.479101,74,1.268684,5.8,46.9,"0"
"Mexico",9.876999855,7.254108413,13.41139244,75.255,4346206809,2.869945896,1454,75,-0.2783419,2.6,1.433613196,"0"
"Middle income",8.479999542,8.827292724,12.52521686,68.54484562,8150138757,0.455526401,3893.634,97,0.8788012,4.7,20.22,"0"
"North Macedonia",3.630000114,3.966849055,1.674815923,73.8,1.05e+12,1.486063532,290246.038,98,-0.7284455,3.5,20.81,"0"
"Mali",7.17713172686413,3.30634278,10.52113421,53.553,256787200,-0.888403296,36306.9117408967,79,1.149342,2.8054347826087,13.62113273,"0"
"Malta",5.403699144,6.214397332,3.58992357599457,79.79268293,240768223836.61,1.181516262,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,11.74743127,"0"
"Myanmar",5.070000172,12.36716684,2.516018796,62.294,4401189466,-0.23171896,36306.9117408967,92,-0.0152083,2.8054347826087,20.45,"0"
"Montenegro",7.199999809,9.630963096,9.13723601,74.33902439,4234999823,1.357180504,1889,95,0.6684207,3,9,"0"
"Mongolia",19.39999962,4.347122157,-5.893611091,65.985,3680711744,0.138110348,2867.309516,92,0.1075556,3.3,30.8,"0"
"Mozambique",9.56000042,2.042085127,3.58992357599457,50.934,79041294874,1.158607462,32010.009,95,-0.5000547,3.5,21.5,"0"
"Mauritania",3.085000038,8.489486755,11.13747395,61.776,10450843291,2.775211787,2412.079,75,0.3576092,2.8,0.91,"0"
"Malawi",22.15800095,6.547881411,3.292021005,50.595,8839526452,1.76975302,3520,86,1.018452,4.5,4.835610778,"0"
"Malaysia",1.33099997,2.269219244,3.58992357599457,73.931,10325618017,1.204603236,868.4,82,-1.883255,2.5,1.41,"0"
"Namibia",14.83100033,5.4419946190163,3.58992357599457,52.593,8819917187,1.473710882,2104.137,77.7771739130435,-0.135189847826087,2.8054347826087,35.05,"0"
"New Caledonia",3.660000086,2.376143103,3.107824237,76.47804878,1.37e+11,0.932407688,30882.017,88,1.243147,9.4,69.76,"0"
"Niger",4.889999866,11.12693474,3.071126696,54.968,7423421958,1.374485191,3989.2,93,-0.1194835,2.6,3.9,"0"
"Nigeria",2.203000069,0.053959261,-2.13477736,49.373,5731485267,3.756576119,1148.715,57,-0.4584392,2.6,0.39039062,"0"
"Nicaragua",3.836999893,5.388007969,9.187171228,71.673,2.76e+11,2.632171268,34830.297,42,-2.011331,2.2,6.77,"0"
"Netherlands",4.770336097,2.495528237,3.58992357599457,80.09756098,240768223836.61,0.95751104,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,74.82218998,"0"
"Norway",34.93000031,2.251757983,5.650167967,80.39512195,8336478142,0.163132932,3398.268,95,-0.4257974,2.8054347826087,36.3,"0"
"Nepal",2.49000001,0.712589074,3.58992357599457,66.26,4.01e+11,1.034734515,80297.406,93,1.145414,8.7,86.93,"0"
"New Zealand",4.178999901,5.830484181,-0.826940502,80.15121951,42085379454,2.917741912,24692,99,0.9390239,4.7,16.68,"0"
"Oman",0.400000006,7.598684411,4.189272918,74.893,1.52e+11,2.281671865,17837.5,54,-2.429894,2.4,6.8,"0"
"Pakistan",3.684999943,4.168633003,3.785734018,64.42,21295984230,1.811441333,8820.595019,85,-0.0606814,3.2,22.29,"0"
"Panama",2.244999886,0.911350456,6.792383876,76.234,9545177014,2.402304566,4681.16,66,-0.747278,2,1.790559361,"0"
"Peru",4.710000038,8.130474177,14.45835025,73.528,17856270473,1.430859892,4723.587272,95,-0.7380725,2.4,11.21,"0"
"Papua New Guinea",3.430000067,2.9,5.357597018,61.141,1.56e+11,1.711104341,50465.72392,87,-1.602893,2.5,5.97,"0"
"Poland",9.600000381,2.458743124,3.58992357599457,75.24390244,4.29e+11,-0.054305021,140146.4511,99,0.6827373,4.2,48.6,"0"
"Puerto Rico",7.960000038,2.453965281,3.58992357599457,78.42585366,2.4e+11,0.196304384,52482.01135,97,0.8218185,6.5,42.09,"0"
"Korea, Dem. People's Rep.",10.93000031,5.4419946190163,3.58992357599457,68.675,89524131600,-0.585620757,36306.9117408967,77.7771739130435,0.4112206,2.8054347826087,27.86,"0"
"Paraguay",6.409999847,4.837329283,-2.130870771,72.055,1.75e+11,-1.477222982,70313.60688,96,0.1983791,3.7,28.3,"0"
"French Polynesia",6,9.007298689,-3.344926611,74.793,1.3e+12,-0.171082033,223486,98,-0.8613417,2.8054347826087,24.66,"0"
"Qatar",1.011999965,9.080722059,2.717995029,78.601,4068065929,2.516000265,176.77,97,-0.3583081,2.8,2.115387178,"0"
"Romania",5.360000134,5.577063932,4.802491768,72.56585366,570469196.7,0.645325301,265.607,65,1.004173,4.5,4.749983235,"0"
"Rwanda",5.730000019,4.167823301,3.58992357599457,58.915,4.16e+11,2.762800179,36306.9117408967,96,-0.466703,3.4,30,"0"
"Saudi Arabia",10.08399963,5.853304285,-1.723489985,73.467,13994218939,2.642672973,1673.829,94,-0.2438859,3.6,6.89,"0"
"Sudan",3.788000107,11.64997445,17.04521826,61.422,2158496873,2.714484545,245.238,64,-0.0608303,2.1,0.239834699,"0"
"Senegal",3.900000095,2.104880036,-0.55404274,62.126,1.81e+11,4.166002864,263155,97,1.174122,9.3,69.9,"0"
"Singapore",11.14000034,2.756723716,3.58992357599457,80.44146341,86563986799,0.029178401,60830.73732,99,1.035826,2.8054347826087,61.8,"0"
"Solomon Islands",4.820000172,3.657495633,3.58992357599457,69.762,48067401207,0.559207816,30101.74171,97,1.097749,6.6,56.74,"0"
"Sierra Leone",1.876999974,7.666020135,-2.586372209,46.52,620230005.2,2.270295686,293.603241,88,0.2300761,2.8,2,"0"
"El Salvador",18.89699936,5.4419946190163,3.58992357599457,70.542,240768223836.61,2.895437788,36306.9117408967,40,-3.224753,1.4,1.122235622,"0"
"Somalia",26.54000092,6.177806835,4.546045669,52.998,3.33e+11,1.291498275,88449.6,85,0.2158346,5.1,8.065375174,"0"
"Sao Tome and Principe",8.229999542,2.786797458,1.16160724914286,65.854,1.47e+12,1.851081308,253297.3318,96,-0.2753482,6.7,55.11,"0"
"Suriname",5.96999979,15.84211149,2.6732136,69.579,32350248411,0.738871905,7740.09,98,-1.748257,3.2,3.88,"0"
"Slovak Republic",14,2.823103737,6.304614312,74.20731707,1336088815,1.360892057,36306.9117408967,99,0.6178406,2.8054347826087,27.9,"0"
"Slovenia",19.05900002,7.236147016,2.13011293,78.56097561,684444444.4,-0.079219599,36306.9117408967,99,0.7880727,2.8054347826087,16,"0"
"Sweden",14.81900024,14.75427708,3.58992357599457,80.9,59440139775,2.183055564,8775,84,-2.359716,1.8,8.66,"0"
"Eswatini",9.031999588,6.426279345,6.898239635,43.308,2936612022,1.158725493,1044.269,84,-0.0172716,3.5,14.11,"0"
"Syrian Arab Republic",6.159999847,2.212168834,3.58992357599457,74.152,4.91e+11,0.741552515,168817.0201,98,1.271177,9.3,82.01,"0"
"Chad",3.650000095,0.732350603,1.16160724914286,49.335,4.94e+11,0.893690978,161180.189,94,1.234161,9,77.2,"0"
"Togo",8.420000076,3.907709504,3.58992357599457,55.581,1.8e+11,4.207360602,11545.71,80,-0.3381941,2.8054347826087,11.5,"0"
"Thailand",12.36900043,13.14912471,-3.362205465,72.916,3719506173,2.003276515,1468,86,-0.7509679,2.1,7.197619518,"0"
"Tajikistan",3.029999971,7.02551437,6.389565193,67.382,21843529025,2.823941465,2139.347,83,-0.3856436,3.2,1.6,"0"
"Turkmenistan",1.179999948,2.241540953,3.486985687,65.695,2.63e+11,0.5599092,153867.44,98,-1.111438,3.3,20.03,"0"
"Timor-Leste",3.342000008,10.30090202,3.58992357599457,65.61,542795400,1.943821631,8.367,70,-1.101646,2.6,1,"0"
"Tonga",3.802999973,0.945673272,-0.206770052,69.878,2662612348,2.695973458,1237.116,82,-0.3408129,2.3,2.2,"0"
"Trinidad and Tobago",1.25,5.842248749,3.58992357599457,71.21,298513956.2,0.84487827,8.481,99,0.2816333,1.7,7.179865329,"0"
"Tunisia",5.539999962,7.894388348,-0.888544432,74.558,21641620050,0.451781349,7662.83,88,-0.1875922,3.4,32.3,"0"
"Turkiye",12.35999966,2.966944325,3.58992357599457,73.235,38914078352,1.009647735,15165.396,98,0.1594673,4.2,17.1,"0"
"Tanzania",7.17713172686413,8.75618091,3.58992357599457,55.926,240768223836.61,1.58483568854891,36306.9117408967,96,-0.135189847826087,2.8054347826087,28.63,"0"
"Uganda",5.760000229,5.4419946190163,3.58992357599457,53.887,12664165103,1.240231032,8932.1,98,0.2762332,2,1.406360688,"0"
"Ukraine",2.726999998,6.138510833,10.98062354,68.22219512,11902564401,3.15180932,1336.668,73,-0.9151093,2.8,3.671965351,"0"
"Uruguay",6.349999905,12.83877962,-7.280207364,76.251,1.49e+11,-0.59687108,60618,98,0.1731321,2.7,6.55,"0"
"St. Vincent and the Grenadines",4.619999886,2.852672482,5.206759376,71.554,1.45e+13,0.951055243,36306.9117408967,96,0.3757299,7.2,75,"0"
"Venezuela, RB",9.399999619,8.114645612,-0.436648325,73.01,23410572634,0.190772213,5627.663,94,0.8354977,6.7,34,"0"
"Virgin Islands (U.S.)",4.989999771,5.4419946190163,3.58992357599457,76.86341463,22311393928,1.423474897,8029,96,-1.360668,1.7,7.490604681,"0"
"Vietnam",1.794999957,3.935483871,2.253679046,74.474,516392922.5,2.344273331,49.842,70,1.231705,3.1,6.8,"0"
"Vanuatu",7.28000021,5.4419946190163,1.434858453,68.672,2.3e+11,1.469258326,36306.9117408967,62,-1.227591,2.8054347826087,20.83,"0"
"World",2.029999971,8.344448898,1.413637869,69.5915489,77414425532,0.943380936,36306.9117408967,92,0.2521055,2.8054347826087,20.75544477,"0"
"Samoa",10.19099998,5.4419946190163,3.58992357599457,70.901,4.78e+09,-0.0295331,36306.9117408967,77.7771739130435,0.4855805,2.8054347826087,27.33933584,"0"
"Yemen, Rep.",5.416889391,4.816767674,3.58992357599457,64.47,240768223836.61,1.235761509,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,20.40295368,"0"
"South Africa",12.49400043,7.90511779,6.4069326,54.452,21650532264,2.83489894,36306.9117408967,79,-1.591527,2.8054347826087,5.01,"0"
"Zambia",10.58699989,10.6573496,5.240870634,51.134,14056957976,2.67023196,4006.98,80,0.3634163,2.6,1.9,"0"
"Zimbabwe",4.828999996,5.4419946190163,3.58992357599457,44.947,5291950100,0.822767237,2400,73,-1.108968,2.1,3,"0"
