"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Aruba",11.30099964,8.680570785,-3.58511111,74.576,9747879532,2.493830391,3022,63,-2.410581,1.8,1.9,"0"
"Afghanistan",15.97000027,2.932682482,9.304741438,59.375,10677324144,-0.755718755,4191.379719,98,-0.203224,2.9,15.03611541,"0"
"Angola",13.78999996,3.678995747,1.508207775,52.177,1.35e+11,1.551379427,60163.16,95,-1.14836,3,9.451190626,"0"
"Albania",3.821000099,12.25149745,12.83731632,75.646,65266452081,3.680601168,13661,48,-0.6660322,2.2,1.7,"0"
"Arab World",7.17713172686413,1.416052594,6.463065588,69.70155529,1312759259,1.57610133,59.352444,99,0.8022588,2.8054347826087,34,"0"
"United Arab Emirates",10.02722365,4.74390639,3.58992357599457,75.767,1.79e+12,2.430739902,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,14.22754325,"1"
"Argentina",8.470000267,5.4419946190163,3.58992357599457,74.787,2.88e+11,0.998884153,55778.8,91,0.0988585,2.9,25.94663294,"0"
"Armenia",9.81000042,4.407360896,12.69474446,72.815,9206301700,-0.872060059,3267.8,88,0.150446,3,6.021253397,"0"
"Antigua and Barbuda",7.17713172686413,5.392567845,4.984943179,75.376,2615083799,0.391971045,36306.9117408967,77.7771739130435,1.287163,2.8054347826087,30.9,"0"
"Australia",4.380000114,2.327611289,3.060896007,81.29268293,8.54e+11,0.624678435,141358.364,92,0.9287898,8.6,69.45,"1"
"Austria",4.860000134,2.168555288,3.58992357599457,80.1804878,3.89e+11,0.324146535,163620.4214,85,1.283752,8.1,69.37,"0"
"Azerbaijan",6.329999924,16.69975496,-1.568624267,69.752,33050343783,1.133855466,21269.317,79,-0.6255671,2.1,14.54,"0"
"Burundi",7.880000114,2.492577949,2.479595861,54.944,10618340000,1.901559199,287167.570505,95,0.7300045,6.50714285714286,27,"0"
"Benin",4.126999855,9.106984969,5.789111438,58.255,79611888213,1.226630505,18596,94,-1.540048,2,1.8,"0"
"Burkina Faso",7.409999847,4.034229829,2.015859204,54.841,4.67e+09,0.440868353,523.823,93,1.04432,6.9,58.2,"0"
"Bangladesh",7.672999859,8.426752735,-3.807565698,68.648,45277399814,-0.458847536,24275.3,95,0.3405411,2.1,19.7,"0"
"Bulgaria",7.460000038,1.8230563,1.16160724914286,72.66341463,4.71e+11,0.734330831,430951.92,98,0.7574292,7.1,64.44,"0"
"Bahrain",8.510000229,5.4419946190163,9.179786738,75.625,1271598050,2.606314178,684.36,96,0.1944116,3,24.6,"0"
"Bahamas, The",0.894999981,1.298068133,4.344562975,71.998,8169048690,2.854098759,1046.859,82,0.3861226,2.7,1.79,"1"
"Bosnia and Herzegovina",3.700000048,5.156111388,10.72966446,75.498,1168308517,1.129729919,674.524,95,0.5686632,5,5.92,"1"
"Belarus",2.645999908,8.705609236,5.110629663,70.20731707,13120183157,1.719890149,36306.9117408967,84,-0.8503005,2.9,10.49924432,"1"
"Belize",28.97999954,1.500777106,0.918034767,70.636,15778767411,-0.069897069,4151.965,95,-0.6306275,3.3,27.92,"0"
"Bolivia",17.20499992,7.080998472,10.7573147,66.395,10939053365,2.131208018,5174.44,96,1.055395,5.4,5.28,"0"
"Barbados",6.333000183,0.96777412,4.331025432,78.097,12247694247,1.262715894,7667.972,99,1.106725,2.8054347826087,44.68,"0"
"Brunei Darussalam",6.880000114,8.40253419,-0.945548523,74.351,44405101470,-0.735282284,29961.23134,95,0.3582801,4.1,33.64,"0"
"Bhutan",3.299999952,-0.230627306,2.204376718,66.709,7625723124,3.01189362,623,89,0.3076967,2.9,0.75,"0"
"Botswana",1.626999974,8.412062858,7.915114947,54.983,1356199365,3.288916349,319.105,99,-1.375335,2.5,0.7,"0"
"Central African Republic",10.72999954,4.410997042,1.654809797,45.636,1513933983,1.248853918,19.219,98,0.8770247,2.8054347826087,8.28321982,"0"
"Canada",1.25999999,8.708827706,3.58992357599457,80.54390244,8639235842,1.489463775,4088.48,82,-0.3629849,2,0.49,"1"
"Central Europe and the Baltics",3.059999943,0.921402246,3.58992357599457,74.25064872,23928251334,2.741994312,4230.114715,82,-0.3250326,2.4,2.93,"0"
"Switzerland",6.039999962,2.138383993,7.564107052,81.74146341,1.47e+12,0.971135141,390188.3,94,1.006867,8.7,73.2,"1"
"Channel Islands",8.882938298,4.257557957,3.58992357599457,80.802,61875369660,0.666929675,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,24.4998464,"0"
"Chile",5.605999947,0.959917619,3.58992357599457,78.099,240768223836.61,1.922335307,248.921791,77.7771739130435,-1.854586,2,20.6555739732011,"1"
"China",7.803300488,4.837329283,3.58992357599457,73.553,240768223836.61,-0.372245216,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,20.6555739732011,"0"
"Cote d'Ivoire",0.925000012,-8.97473962,3.58992357599457,51.091,8650138069,3.393100167,3666.224,28,-1.865933,1.8,0.847224521,"0"
"Cameroon",5.427999973,5.4419946190163,3.58992357599457,53.681,11514605842,1.069431567,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,20.6555739732011,"0"
"Congo, Dem. Rep.",8.430000305,4.407799384,3.409024447,55.091,1.74e+11,1.068555462,47163.8,96,0.4071552,7,35.9,"0"
"Colombia",10.25,5.545141282,9.67644438,74.732,2.06e+11,1.234478054,32897.045,93,-1.80328,3.8,21.8,"0"
"Comoros",5.643000126,4.466167101,6.71696605,60.734,795673128.5,2.397021514,13.813,75,-1.094133,2.6,2.5,"0"
"Costa Rica",20.03100014,2.654646451,3.58992357599457,78.362,8771102025,3.437562679,36306.9117408967,72,-0.77008,2.8054347826087,2.759704374,"0"
"Caribbean small states",4.489999771,9.357244564,2.064435159,72.31605654,26884700345,1.353270526,9337,89,0.5834517,5,28.4,"0"
"Cuba",6.144999981,1.892006293,1.61328996,78.019,28760092035,2.19559629,36306.9117408967,76,-1.838058,2.1,1.8,"0"
"Cyprus",9.909999847,2.899282756,4.859853943,78.91,60542673503,-0.02185266,25617.1119,96,0.6047199,4.1,41.44,"0"
"Czech Republic",1.789999962,5.4419946190163,3.58992357599457,76.72439024,58603900000,-0.089941717,3980.667,93,0.4513592,4.2,11.69,"0"
"Germany",3.920000076,2.372651837,3.58992357599457,79.53414634,23968764030,1.725802547,8614.705957,97,0.5371549,5.3,40.77,"1"
"Djibouti",5.320000172,2.853124372,2.171131434,58.719,1.9e+11,0.583542205,122498.2733,99,1.015041,2.8054347826087,51.93,"0"
"Denmark",3.799999952,1.693265862,3.58992357599457,78.19512195,3.19e+11,0.443466054,98026.77063,87,1.117682,9.4,85.03,"0"
"Dominican Republic",27.44400024,4.965976546,3.58992357599457,71.304,847918929.1,1.362762573,473.231,88,-0.1221943,2.9,1.62,"0"
"Algeria",5.159999847,6.143566552,7.609744711,73.936,43965420072,1.295179203,13597,85,-0.07755,3,17.66,"0"
"Ecuador",3.140000105,2.27618478,3.58992357599457,74.514,51007777000,1.672881165,13893.461,96,-0.8144428,2.1,10.8,"0"
"Egypt, Arab Rep.",8.800000191,9.318969058,-0.077628594,69.788,1.3e+11,1.751693087,36306.9117408967,98,-0.5513738,2.8054347826087,16.03,"0"
"Eritrea",6.409999847,4.578085724,3.58992357599457,60.243,17011750000,0.433559245,4014.5,99,-0.0063193,4,6.11,"0"
"Spain",8.647000313,2.803738318,3.58992357599457,80.87317073,13071718759,4.631940298,10210,48,0.2559578,1.9,1.557123059,"1"
"Estonia",5.249000072,5.4419946190163,3.58992357599457,72.81463415,1317974491,2.64882178,13.22,95,-1.047726,2.8,0.41,"0"
"Ethiopia",4.590000153,6.601326031,3.58992357599457,58.467,22449129483,-0.456188535,11009.9358,95,0.6338796,6.5,66.19,"0"
"Finland",28.23999977,8.076088279,7.763103634,79.26341463,3469363996,0.630766985,1740,87,0.0480241,2.8054347826087,4.1,"1"
"France",4.107999802,4.803706413,5.805544749,81.11219512,3378314600,0.999495116,1800.47,99,0.0618453,2.8054347826087,10.89783105,"1"
"Micronesia, Fed. Sts.",6.849999905,2.510665652,1.16160724914286,65.901,2.56e+11,0.425429832,90024.87757,99,1.487837,9.4,80.78,"0"
"United Kingdom",11.73999977,5.4419946190163,3.58992357599457,79.44878049,240768223836.61,0.653018031,1863.164,77.7771739130435,-0.135189847826087,2.8054347826087,28.59,"1"
"Georgia",18.2840004,5.030318837,3.58992357599457,70.765,12455410056,2.923063968,6309,81,0.3033017,3.3,5.767004576,"0"
"Guinea",13.27999973,9.244897456,6.962913354,54.864,10172882371,-0.521646734,1232.1,98,-0.6447724,3.4,8.26,"0"
"Guinea-Bissau",4.842999935,10.73426655,3.58992357599457,53.136,24827844950,2.579985464,8061.32,94,-0.0717858,3.7,3.85,"0"
"Equatorial Guinea",8.399999619,2.895003215,3.58992357599457,54.842,3.19e+11,0.254757582,26557.74381,99,0.5241894,4.6,35.88,"0"
"Greece",7.17713172686413,3.858829225,7.267924037,79.43902439,758683592.6,0.233199072,365.125,96,0.3843402,3.4,22.29,"0"
"Grenada",8.300000191,5.4419946190163,3.58992357599457,73.096,4.4e+09,0.125355532,91.354,77.7771739130435,0.4317632,2.8054347826087,46.15047362,"0"
"Guatemala",3.108999968,6.821617536,5.341266302,70.409,33567868323,1.975962167,6897.7,85,-0.7522722,2.8,7.3,"0"
"Guyana",6.056000233,4.617437722,0.355080129,67.247,696910810.9,2.435506078,107.036,74,-0.4599775,2.2,2.206302237,"0"
"Hong Kong SAR, China",10.95699978,12.20015444,5.914206812,82.32682927,2730971150,0.019024499,678.571,94,-0.5585464,2.6,13.8,"0"
"Honduras",16.79999924,6.557227726,12.76106461,72.544,9522763154,1.598240401,1681.51,64,-1.318481,1.6,7.2,"0"
"Croatia",3.210000038,6.936214709,9.359386039,75.70560976,12275500116,2.256484876,5783.59,94,-0.4366662,2.5,9.4,"0"
"Haiti",4.010000229,2.035027134,4.290401518,59.408,2.12e+11,0.859633272,36306.9117408967,77.7771739130435,1.103631,2.8054347826087,64.8,"0"
"Hungary",7.409999847,7.958745165,3.455557018,73.15121951,1.4e+11,-0.154915158,95399.82091,99,0.747174,5.3,53.3,"0"
"Indonesia",2.25,5.051557365,14.33644941,68.105,21652505597,2.530085489,4782.895,97,1.484785,9.2,90.6,"0"
"India",5.572000027,6.372881356,5.681844063,65.35,1.22e+12,1.509221986,229369.9,64,-1.151811,3.5,3.95,"0"
"Ireland",8.06000042,6.406562813,2.339674091,79.64146341,4.32e+11,1.323834207,118013,73,-1.196296,2.3,5.786274729,"0"
"Iraq",8.649999619,-10.06749258,3.793137664,68.13,88837055195,1.673172356,41267.9,57,-2.768146,1.5,0.93,"0"
"Iceland",4.980000019,4.897115644,3.58992357599457,81.45365854,2.7e+11,2.890960005,83821.97278,92,1.214467,7.5,61.15832455,"0"
"Israel",9.380000114,0.459816074,3.58992357599457,80.50487805,1.79e+11,1.776100869,54092,95,-1.249815,6.1,48.12806219,"0"
"Jamaica",9.75,9.244820673,5.279057528,74.129,12799593018,0.500304974,2254,92,-0.254539,3.3,21.1,"0"
"Japan",13.10000038,4.74390639,3.452125036,82.50707317,17110587447,4.30778632,13681.267,98,-0.2996989,4.7,20,"0"
"Kazakhstan",7.260000229,10.84683621,3.58992357599457,66.34,1.05e+11,1.143851233,32756,93,0.6474186,2.1,4.02,"0"
"Kenya",2.891000032,9.75888023,4.819090788,57.463,31958195182,2.768549226,4080.8,81,-1.302541,2.1,4.4,"0"
"Kyrgyz Republic",7.17713172686413,3.592521313,3.58992357599457,67.89512195,132671743,2.294832252,70.130448,94,1.340644,3.3,6,"0"
"Cambodia",2.815999985,5.4419946190163,3.58992357599457,64.697,240768223836.61,0.553298088,36306.9117408967,92,0.5369785,2.8054347826087,20.6555739732011,"0"
"Kiribati",3.00999999,2.534573821,4.034859563,64.953,1.17e+12,0.505234033,36306.9117408967,91,0.5662745,2.8054347826087,78.8,"0"
"Kuwait",8.100000381,10.23010327,7.261727074,73.807,3802566171,0.953586964,2788.6,94,-0.9894642,2.8054347826087,14.03,"0"
"Lao PDR",6.804147547,4.985326784,3.58992357599457,62.731,240768223836.61,1.198894112,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,20.6555739732011,"0"
"Lebanon",6.689703073,6.426279345,3.58992357599457,77.609,240768223836.61,1.209420211,36306.9117408967,77.7771739130435,-0.135189847826087,2.8054347826087,20.6555739732011,"0"
"Liberia",6.050000191,10.09297758,3.58992357599457,57.365,31054350978,-0.816175507,8308.345092,94,0.5622184,4.8,59.17,"0"
"Libya",8.979999542,5.4419946190163,6.906533194,72.155,24827355015,0.159271888,36306.9117408967,80,-2.116773,3,18.74,"0"
"Latin America & Caribbean",2.213000059,11.39189668,2.703595526,73.50178524,1.37e+09,3.908540976,200.2,65,-1.243969,2.1,0.551376581,"0"
