"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Aruba",72.751,45657456301.7865,-2.219779588,962,5,"0"
"Afghanistan",44.617,45657456301.7865,2.113271783,3962.77635869565,95,"0"
"Angola",44.611,45207088716,3.1216424,10754,29.4402173913043,"0"
"Albania",70.635,5550483036,3.552752715,1629,29.4402173913043,"0"
"Arab World",59.63599752,164369278.9,-0.01456676,21.252,79,"0"
"United Arab Emirates",69.158,4.46e+11,3.160193457,3962.77635869565,29.4402173913043,"1"
"Argentina",70.033,84307486837,1.596433496,7625,58,"0"
"Armenia",70.776,45657456301.7865,1.438104116,3962.77635869565,29.4402173913043,"0"
"Antigua and Barbuda",69.156,45657456301.7865,1.279733959,3962.77635869565,29.4402173913043,"0"
"Australia",74.90487805,1.94e+11,1.667535733,26667,48,"1"
"Austria",72.96097561,71275287570,0.071717018,15642,90,"0"
"Azerbaijan",64.425,45657456301.7865,1.591335402,3962.77635869565,29.4402173913043,"0"
"Burundi",47.324,1578300000,2.232453915,36371.8357142857,69,"0"
"Belgium",73.88804878,3645744681,3.113899883,3962.77635869565,79,"1"
"Benin",48.145,18525399202,2.612847007,2464,1,"0"
"Burkina Faso",47.81,1163923830,0.308254116,257,62,"0"
"Bangladesh",53.794,208172887166.786,0.677412013,36371.8357142857,48.7857142857143,"0"
"Bulgaria",71.18609756,92095926188,-0.027176883,36371.8357142857,95,"0"
"Bahrain",70.317,182206327,2.617701916,91,61,"0"
"Bahamas, The",67.769,1267778489,2.777493469,464,29.4402173913043,"1"
"Bosnia and Herzegovina",70.82,141366534.5,2.557500571,68,15,"1"
"Belarus",69.90821951,5587490265,2.037104553,3962.77635869565,12,"1"
"Belize",70.257,208172887166.786,1.006269108,36371.8357142857,48.7857142857143,"0"
"Bolivia",51.427,1014907255,3.427948483,689,82,"0"
"Brazil",63.326,2.71e+11,2.341859987,20175,56,"0"
"Barbados",72.98,4264252336,2.973444271,3808,99,"0"
"Brunei Darussalam",68.117,1.93e+10,0.295812783,11540,99,"0"
"Bhutan",46.954,1754449845,2.447803734,347,29.4402173913043,"0"
"Botswana",60.109,1013222222,2.618788701,213,33,"0"
"Central African Republic",49.713,140630758.6,1.909747501,72,29.4402173913043,"0"
"Canada",75.76341463,45657456301.7865,2.486716675,12,29.4402173913043,"1"
"Central Europe and the Baltics",70.45547332,6611255018,3.082754797,1211,15,"0"
"Switzerland",76.03390244,3.14e+11,1.189624341,58128,48.7857142857143,"1"
"Channel Islands",73.89,16517827317,1.250441334,3962.77635869565,29.4402173913043,"0"
"Chile",70.239,45657456301.7865,3.082913324,107,29.4402173913043,"1"
"China",67.627,45657456301.7865,0.560992636,3962.77635869565,29.4402173913043,"0"
"Cote d'Ivoire",51.94,834369860.4,2.257063571,109,29.4402173913043,"0"
"Cameroon",52.312,45657456301.7865,0.764594669,3962.77635869565,29.4402173913043,"0"
"Congo, Dem. Rep.",46.937,25325893206,1.388082758,3705.7,99,"0"
"Congo, Rep.",54.76,2.05e+11,1.47267476,19285,29.4402173913043,"0"
"Colombia",67.802,38968039722,2.177183365,3023.6,26,"0"
"Comoros",51.925,184008995.6,2.894264802,20,29.4402173913043,"0"
"Cabo Verde",62.101,13651667371,2.472709617,3962.77635869565,17,"0"
"Costa Rica",73.193,2160640567,2.920082098,3962.77635869565,47,"0"
"Caribbean small states",68.51780596,2606621255,2.722227422,870,81,"0"
"Cuba",74.175,7567109767,4.328537761,3962.77635869565,29.4402173913043,"0"
"Cyprus",75.173,45657456301.7865,0.491578573,3962.77635869565,29.4402173913043,"0"
"Czech Republic",70.80780488,20953510235,0.417587904,6637,99,"0"
"Germany",73.227,2159242417,0.368749178,1223,26,"1"
"Djibouti",54.451,45657456301.7865,0.138100551,3962.77635869565,29.4402173913043,"0"
"Denmark",74.55121951,60412844679,-0.073481,15397,87,"0"
"Dominican Republic",63.601,45657456301.7865,2.718918554,13,6,"0"
"Algeria",60.813,8267400000,2.197317518,1693,28,"0"
"Ecuador",64.669,19929853575,2.550236828,2327.4,35,"0"
"Egypt, Arab Rep.",59.671,27655172414,2.533356514,3962.77635869565,57,"0"
"Eritrea",47.187,3399189100,1.507852632,699,42,"0"
"Estonia",69.12682927,45657456301.7865,2.886833252,3962.77635869565,29.4402173913043,"0"
"Ethiopia",43.712,45657456301.7865,0.719876655,3962.77635869565,29.4402173913043,"0"
"Finland",74.29804878,537575980.8,3.463153772,325,39,"1"
"Fiji",64.436,7707678019,2.770026624,399,3,"0"
"France",74.5,1194122694,2.614994762,377,64,"1"
"Micronesia, Fed. Sts.",62.693,52797582336,0.560285844,13088,94,"0"
"Gabon",56.873,5.85e+11,0.519414629,96694,85,"0"
"United Kingdom",74.17804878,1286462643,2.947508259,28,29.4402173913043,"1"
"Georgia",69.768,3618007844,2.550404139,867,29.4402173913043,"0"
"Ghana",52.92,216051496,3.074304097,3962.77635869565,80,"0"
"Guinea",42.783,45657456301.7865,0.846666493,3962.77635869565,29.4402173913043,"0"
"Guinea-Bissau",44.733,4035994398,2.853955775,874,23,"0"
"Equatorial Guinea",45.466,54617989796,0.61646204,4298,83,"0"
"Greece",74.279,125435590,2.745325943,19,56,"0"
"Grenada",68.128,45657456301.7865,2.246325585,60,29.4402173913043,"0"
"Guatemala",58.183,8716999700,2.671766063,1119.84,45,"0"
"Guam",69.864,45657456301.7865,2.139656658,459,15,"0"
"Guyana",62.626,165523634.5,2.069384146,50,29.4402173913043,"0"
"Hong Kong SAR, China",75.42926829,4.82e+08,-0.062060818,256,53,"0"
"Honduras",61.236,1474200000,2.34281175,178,13,"0"
"Croatia",70.48268293,4266503526,3.056485659,660,46,"0"
"Haiti",51.668,32291306282,1.55249627,3962.77635869565,29.4402173913043,"0"
"Hungary",69.35780488,45657456301.7865,-0.058952116,8860,99,"0"
"Indonesia",58.966,3206626564,1.336610409,944.435,98,"0"
"India",54.686,2.01e+11,2.328678839,9357.88,12,"0"
"Ireland",73.08807317,90158449307,2.311784922,16859,1,"0"
"Iran, Islamic Rep.",53.126,1.26e+11,4.06864318,3962.77635869565,41,"0"
"Iraq",59.275,42382333333,2.727680533,10250,18,"0"
"Iceland",77.03780488,21474752962,0.94541547,8063,43,"0"
"Israel",74.1097561,45657456301.7865,1.878107037,5255,92,"0"
"Italy",74.81463415,4.27e+11,0.07408186,87332,29.4402173913043,"0"
"Jamaica",71.217,3293533288,1.676461854,1381.09,34,"0"
"Japan",76.92292683,4680567376,3.924419672,752,75,"0"
"Kazakhstan",66.78780488,45657456301.7865,1.124704069,3962.77635869565,29.4402173913043,"0"
"Kenya",58.676,6431579357,3.865149008,1024.73,29.4402173913043,"0"
"Kyrgyz Republic",63.65887805,40572066.13,1.299320689,2,53,"0"
"Cambodia",39.157,45657456301.7865,1.552020942,3962.77635869565,51,"0"
"Kiribati",56.569,78358866335,1.545468533,3962.77635869565,61,"0"
"Korea, Rep.",67.09512195,21577977770,4.636235454,3962.77635869565,83,"0"
"Kuwait",70.344,45657456301.7865,1.974517144,3962.77635869565,29.4402173913043,"0"
"Latin America & Caribbean (excluding high income)",64.8995547,45657456301.7865,2.315203939,3962.77635869565,7,"0"
"Lao PDR",49.753,45657456301.7865,2.204270828,3962.77635869565,29.4402173913043,"0"
"Lebanon",68.287,45657456301.7865,2.239305122,3962.77635869565,29.4402173913043,"0"
"Liberia",46.776,45657456301.7865,0.46169759,3962.77635869565,29.4402173913043,"0"
"Libya",65.306,45657456301.7865,0.455692386,3962.77635869565,4,"0"
"St. Lucia",68.803,348746822.6,2.689149825,37,61,"0"
"Latin America & Caribbean",65.41724792,45657456301.7865,3.615512253,477.44,29.4402173913043,"0"
"Sri Lanka",68.801,45657456301.7865,3.886244364,13203,72,"0"
"Lesotho",57.901,45657456301.7865,0.703386263,3962.77635869565,29.4402173913043,"0"
"Lithuania",70.83682927,4602316793,0.082107428,3962.77635869565,29.4402173913043,"0"
"Luxembourg",72.65346341,1142503775,3.147105092,3962.77635869565,29.4402173913043,"0"
"Latvia",69.32829268,4784977349,2.887222016,417,15,"0"
"Macao SAR, China",74.677,1180104216,2.367203771,239,64,"0"
"Morocco",59.139,26804401816,2.35740166,12418.2,73,"0"
"Moldova",65.205,47911119.78,3.613543871,43,1,"0"
"Madagascar",49.442,1333739017,2.105539614,145,29.4402173913043,"0"
"Maldives",54.913,1234518125,2.144977411,789,29.4402173913043,"0"
"Mexico",67.493,1108776010,2.929202507,233,20,"0"
"Middle income",61.57397709,1078408830,1.222428188,364,94,"0"
"North Macedonia",68.944,1.85e+11,2.35088894,24055,40,"0"
"Mali",41.173,45657456301.7865,3.380210625,3962.77635869565,29.4402173913043,"0"
"Malta",73.59814634,45657456301.7865,2.04406472,3962.77635869565,29.4402173913043,"0"
"Myanmar",53.726,45657456301.7865,1.015515467,3962.77635869565,29.4402173913043,"0"
"Montenegro",73.25570732,2552401933,2.520751765,791,79,"0"
"Mongolia",57.295,45657456301.7865,1.295577453,3962.77635869565,29.4402173913043,"0"
"Mozambique",43.527,17692341358,2.432674755,2062,32,"0"
"Mauritania",56.066,45657456301.7865,2.296355522,836,43,"0"
"Mauritius",67.76536585,1302701537,2.143484953,395.16,9,"0"
"Malawi",44.954,2118741469,2.210936058,1040,29.4402173913043,"0"
"Malaysia",68.788,2395429852,2.329628847,395.361,18,"0"
"North America",74.49815471,1.58e+11,0.458559864,66281,97,"0"
"Namibia",58.049,904599871.5,2.115563554,367,29.4402173913043,"0"
"New Caledonia",66.9195122,24164603059,0.993480548,5781.81,73,"0"
"Niger",39.927,2465165180,2.787655873,406,27,"0"
"Nigeria",45.867,2017611927,2.875636462,332,6,"0"
"Nicaragua",59.196,1.43e+11,2.599818598,16061,29.4402173913043,"0"
"Netherlands",75.98853659,45657456301.7865,0.981134124,3962.77635869565,29.4402173913043,"0"
"Norway",76.01097561,45657456301.7865,0.70417513,3962.77635869565,29.4402173913043,"0"
"Nepal",48.142,62647195538,0.36727828,17593.4,29.4402173913043,"0"
"Oman",61.523,30725971564,3.353067153,5465,5,"0"
"Pakistan",57.546,5769767900,2.331146783,1570.18,60,"0"
"Panama",70.858,2368584970,2.699976329,771,29,"0"
"Peru",61.378,5419411765,2.886245078,672,34,"0"
"Philippines",64.067,21793496819,2.422529785,3259,23,"0"
"Papua New Guinea",53.763,42206011275,2.737318501,4969,54,"0"
"Poland",71.10243902,45657456301.7865,0.920284572,10250,95,"0"
"Puerto Rico",73.90858537,30527754793,0.611332101,9572,78,"0"
"Korea, Dem. People's Rep.",66.924,16764200000,1.070592227,3962.77635869565,29.4402173913043,"0"
"Paraguay",67.343,45657456301.7865,0.547287798,8320,29.4402173913043,"0"
"French Polynesia",65.854,45657456301.7865,0.628287744,3962.77635869565,29.4402173913043,"0"
"Qatar",73.589,1407242640,3.241846154,91,38,"0"
"Romania",69.53170732,121221651.6,0.608718317,13,87,"0"
"Russian Federation",67.80609756,45657456301.7865,1.73494174,3962.77635869565,34,"0"
"Saudi Arabia",64.411,4013950868,2.90647853,992,29.4402173913043,"0"
"Sudan",54.435,1295361886,2.171644234,111,29.4402173913043,"0"
"Senegal",50.938,16084252378,4.388593633,20787,83,"0"
"Singapore",72.68780488,45657456301.7865,0.774370072,3962.77635869565,29.4402173913043,"0"
"Solomon Islands",63.091,45657456301.7865,0.199273553,3962.77635869565,29.4402173913043,"0"
"Sierra Leone",40.504,192564263.5,3.311678371,71,23,"0"
"El Salvador",57.058,774419569.7,1.477637295,3962.77635869565,5,"0"
"Somalia",45.394,78423059790,2.748338132,18407,29.4402173913043,"0"
"South Sudan",39.41,45657456301.7865,3.238868939,3962.77635869565,29.4402173913043,"0"
"Sao Tome and Principe",59.992,1.96e+11,0.600390137,20498,48.7857142857143,"0"
"Suriname",66.154,4768765017,1.484317643,1030.53,57,"0"
"Slovak Republic",70.68902439,183333333.3,1.291081148,3962.77635869565,79,"0"
"Slovenia",71.05365854,113759203.3,0.801206089,3962.77635869565,67,"0"
"Sweden",76.32731707,9.24e+09,3.497484877,1282.41,2,"0"
"Eswatini",57.307,9.15e+08,0.217177035,514,61,"0"
"Syrian Arab Republic",66.928,1.14e+11,0.057191722,26808,99,"0"
"Chad",45.351,1.15e+11,0.584291675,28678,48.7857142857143,"0"
"Togo",53.365,17525605096,3.581241036,2026,15,"0"
"Thailand",65.635,45657456301.7865,2.928215988,3962.77635869565,29.4402173913043,"0"
"Tajikistan",57.602,45657456301.7865,3.103091116,1166,50,"0"
"Turkmenistan",61.622,36589797857,1.905364962,6944.66,49,"0"
"Timor-Leste",38.175,45657456301.7865,1.544066763,3962.77635869565,29.4402173913043,"0"
"Tonga",67.365,821651918.7,3.607488334,178,14,"0"
"Trinidad and Tobago",66.854,62068161.07,0.236299301,41.569,52,"0"
"Tunisia",63.769,8140416667,1.623436533,3697.13,54,"0"
"Turkiye",59.915,8133401050,2.848394972,3420,29.4402173913043,"0"
"Tanzania",50.526,45657456301.7865,2.12274079492391,3962.77635869565,58,"0"
"Uganda",49.831,45657456301.7865,2.389348718,3962.77635869565,29.4402173913043,"0"
"Ukraine",68.9012439,2177500000,3.047848748,377,12,"0"
"Uruguay",70.814,45657456301.7865,0.324039844,3962.77635869565,29.4402173913043,"0"
"St. Vincent and the Grenadines",68.456,3.34e+12,0.953317566,3962.77635869565,96,"0"
"Venezuela, RB",69.038,9178802163,0.653074525,1023,67,"0"
"Virgin Islands (U.S.)",72.1662439,45657456301.7865,2.574967361,3962.77635869565,29.4402173913043,"0"
"Vietnam",68.203,114501912.5,2.377333312,22.773,22,"0"
"Vanuatu",61.087,67736744186,2.655136538,3962.77635869565,53,"0"
"World",63.50897634,45657456301.7865,2.299439377,3962.77635869565,29.4402173913043,"0"
"Samoa",64.289,45657456301.7865,0.215085041,3962.77635869565,29.4402173913043,"0"
"Yemen, Rep.",50.981,45657456301.7865,1.800490486,3962.77635869565,29.4402173913043,"0"
"South Africa",59.191,45657456301.7865,3.693147112,3962.77635869565,4,"0"
"Zambia",52.905,3994777778,3.417329046,1024,29.4402173913043,"0"
"Zimbabwe",60.65,8539700700,3.616362301,1275,46,"0"
