"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Aruba",51.1698199020978,-0.177423929847826,73.425,80623586141.9453,2.136295072,822,33,"0"
"Afghanistan",51.1698199020978,0.996284185,49.64,2253090000,2.687861989,305.3,94,"0"
"Angola",9.304361258,-0.177423929847826,45.324,55634414465,2.675132253,9570,87,"0"
"Albania",51.1698199020978,-0.177423929847826,71.86,10201099040,3.434478954,3015,18,"0"
"Arab World",51.1698199020978,5.793892504,63.89897996,438794788.5,0.402376013,15.933,99,"0"
"United Arab Emirates",7.74088604,-0.177423929847826,71.657,4.5e+11,2.80736526,6593.18458695652,54.570652173913,"1"
"Argentina",51.1698199020978,-0.177423929847826,71.384,76636898036,1.501814363,9579,80,"0"
"Armenia",51.1698199020978,-0.177423929847826,68.038,80623586141.9453,0.903439396,6593.18458695652,54.570652173913,"0"
"Antigua and Barbuda",3.991628046,6.26423402,71.267,695304363,-0.06387945,6593.18458695652,54.570652173913,"0"
"Australia",7.533902562,6.60191091,76.71365854,3e+11,1.69256678,44933,93,"1"
"Austria",2.56834829,-0.177423929847826,75.26585366,1.33e+11,0.4505139,38980,90,"0"
"Azerbaijan",51.1698199020978,-0.177423929847826,64.935,80623586141.9453,1.653157738,6593.18458695652,54.570652173913,"0"
"Burundi",5.387658228,7.058839804,48.08,3.06e+09,1.717628152,73029.1714285714,86,"0"
"Belgium",1.485897322,4.267214334,75.63268293,3863563830,3.357253369,6593.18458695652,96,"1"
"Benin",6.045479756,6.006888297,53.132,28781714764,2.523386815,1305,49,"0"
"Burkina Faso",6.190114068,2.895511442,49.505,2006165167,0.381939489,186,78,"0"
"Bangladesh",4.75849261542857,2.763899851,57.571,371600762932.643,0.29542119,73029.1714285714,76.0714285714286,"0"
"Bulgaria",3.107050651,2.763899851,71.72243902,1.64e+11,0.363247986,73029.1714285714,94,"0"
"Bahrain",51.1698199020978,11.48634065,72.178,369133890.7,2.454232765,124.548,79,"0"
"Bahamas, The",51.1698199020978,-0.177423929847826,69.854,1502294411,3.101019754,218,48,"1"
"Bosnia and Herzegovina",8.778625954,8.893352916,71.184,264725207,2.450629324,90,76,"1"
"Belarus",15.17346811,21.28074356,71.48292683,4715978868,2.117128852,6593.18458695652,52,"1"
"Belize",4.75849261542857,2.763899851,71.386,371600762932.643,-0.03644114,73029.1714285714,76.0714285714286,"0"
"Bolivia",11.57501475,-5.263682317,55.486,3083800685,3.63385979,1857,92,"0"
"Barbados",1.304300371,-0.177423929847826,74.534,2985467979,2.844133858,1883,91,"0"
"Brunei Darussalam",6.388888889,-0.177423929847826,69.935,21988444444,-1.170038599,16220,99,"0"
"Bhutan",-0.481798715,-0.177423929847826,52.122,2615587726,2.639540005,391,44,"0"
"Botswana",11.66159985,-2.402625005,60.016,1113924130,2.641791882,78,82,"0"
"Central African Republic",4.555160142,-0.177423929847826,49.397,267448513.1,1.655023741,7,99,"0"
"Canada",51.1698199020978,-0.177423929847826,77.1195122,80623586141.9453,2.982861665,44,47,"1"
"Central Europe and the Baltics",-1.665525896,-0.177423929847826,70.73197226,11012566161,3.114605953,1261,56,"0"
"Switzerland",4.9836219,2.763899851,77.42121951,5.65e+11,1.794193515,119792,87,"1"
"Channel Islands",5.490303473,-0.177423929847826,75.192,16872897191,0.621822068,6593.18458695652,54.570652173913,"0"
"Chile",0.689055807,-0.177423929847826,73.198,80623586141.9453,1.903137182,150,54.570652173913,"1"
"China",51.1698199020978,-0.177423929847826,69.054,80623586141.9453,0.103806472,6593.18458695652,54.570652173913,"0"
"Cote d'Ivoire",-3.689134604,-0.177423929847826,53.35,1433686310,3.244093592,240,20,"0"
"Cameroon",51.1698199020978,-0.177423929847826,53.536,80623586141.9453,0.957427319,6593.18458695652,54.570652173913,"0"
"Congo, Dem. Rep.",17.02793673,19.56212916,48.787,29885685143,1.629327877,7233.4,95,"0"
"Congo, Rep.",18.24563836,2.52069312,54.917,3.48e+11,1.533169996,52538,95,"0"
"Colombia",25.86138614,14.20065914,69.591,39540080200,1.975701361,5004.1,78,"0"
"Comoros",51.1698199020978,-0.177423929847826,56.154,341476764,2.964658553,18,82,"0"
"Cabo Verde",104.0652294,-0.177423929847826,64.349,9021862775,3.098428547,6593.18458695652,38,"0"
"Costa Rica",-1.79698883,-0.177423929847826,75.456,2389593022,2.727423907,6593.18458695652,79,"0"
"Caribbean small states",16.50980877,12.07900235,69.98419355,5251025767,2.602936612,1415,86,"0"
"Cuba",1.049518238,-0.177423929847826,74.615,9757410614,3.608919484,6593.18458695652,42,"0"
"Czech Republic",51.1698199020978,-0.177423929847826,71.67560976,27023468666,1.018577534,7526,96,"0"
"Germany",3.765480483,-0.177423929847826,75.01314634,4563482604,1.95862583,2288,93,"1"
"Djibouti",51.1698199020978,-0.177423929847826,56.488,80623586141.9453,0.055917204,6593.18458695652,54.570652173913,"0"
"Denmark",4.772723424,-0.177423929847826,74.7997561,1.12e+11,0.059987665,28015,89,"0"
"Dominican Republic",51.1698199020978,-0.177423929847826,66.201,409220087.1,6.382192699,25,77,"0"
"Algeria",40.65791612,-0.177423929847826,66.554,6686593060,1.939833496,3216,58,"0"
"Ecuador",75.6481901,-0.177423929847826,68.431,13890828708,2.393274336,2353.8,55,"0"
"Egypt, Arab Rep.",21.26186709,-0.674911055,64.143,39756299050,2.568703344,6593.18458695652,90,"0"
"Eritrea",17.63407994,-0.177423929847826,49.192,4372215300,1.303207439,498,64,"0"
"Spain",6.166153846,-0.177423929847826,76.81365854,88265974.58,2.906168024,51,48,"1"
"Estonia",51.1698199020978,-0.177423929847826,70.03902439,80623586141.9453,2.062086524,6593.18458695652,54.570652173913,"0"
"Ethiopia",51.1698199020978,-0.177423929847826,46.667,80623586141.9453,0.398143548,6593.18458695652,54.570652173913,"0"
"Finland",7.546164773,11.27877682,74.79219512,696915430.7,3.145262167,583,89,"1"
"Fiji",7.817301182,0.393303171,65.391,11476584879,3.329124546,943,26,"0"
"France",6.189354034,-0.177423929847826,76.34878049,1182686577,0.231843953,494,98,"1"
