"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Micronesia, Fed. Sts.",6.592909802,2.763899851,63.492,1.19e+11,0.361018799,23298,90,"0"
"United Kingdom",51.1698199020978,-0.177423929847826,75.58292683,2636461517,2.309218138,89,54.570652173913,"1"
"Georgia",6.740837696,-0.177423929847826,70.425,4186411457,2.770695723,1598,78,"0"
"Ghana",8.275016088,11.51499525,56.271,284119692.5,4.717400705,6593.18458695652,87,"0"
"Guinea",51.1698199020978,-0.177423929847826,49.247,80623586141.9453,0.262664316,6593.18458695652,54.570652173913,"0"
"Guinea-Bissau",25.22369203,-0.177423929847826,46.783,5251764264,2.87196737,1273,51,"0"
"Equatorial Guinea",13.65556387,-0.177423929847826,48.36,79169043223,0.52185098,16151,54,"0"
"Greece",5.592948718,3.05430971,76.68780488,267327642.2,-1.224266539,99,87,"0"
"Grenada",51.1698199020978,-0.177423929847826,69.292,80623586141.9453,2.261009326,63,54.570652173913,"0"
"Guatemala",11.3871322,-0.177423929847826,61.735,8410724361,2.759321995,1107.98,50,"0"
"Guam",51.1698199020978,-4.141396945,71.687,2432029434,3.045446028,589,17,"0"
"Guyana",80.78814064,-0.177423929847826,63.159,213143016.4,2.198063085,69,54,"0"
"Honduras",6.923905037,-0.177423929847826,66.229,2736243800,2.043615863,291,50,"0"
"Croatia",9.850409258,3.516751219,71.84463415,5432344902,2.901111081,969,85,"0"
"Haiti",10.18276762,-0.177423929847826,53.949,68790369107,1.03591232,6593.18458695652,54.570652173913,"0"
"Hungary",17.149152,-0.177423929847826,69.46170732,80623586141.9453,-1.088983893,9670,99,"0"
"Indonesia",20.75819503,-0.177423929847826,61.915,5672569396,1.238396064,1400.83,99,"0"
"India",7.074280029,7.435843248,57.4,2.96e+11,2.110865104,20549.4,50,"0"
"Ireland",6.415539635,11.49765772,74.59590244,94451427898,1.830929063,16444,57,"0"
"Iran, Islamic Rep.",22.34965305,-0.177423929847826,62.272,1.2e+11,3.234209681,6593.18458695652,82,"0"
"Iraq",51.1698199020978,-0.177423929847826,65.212,65831935484,2.27712418,9899,87,"0"
"Iceland",4.08904273,-0.177423929847826,78.14097561,39238392678,-0.396250752,20667,65,"0"
"Israel",20.3033839,-0.177423929847826,76.30731707,80623586141.9453,1.696469257,14347,92,"0"
"Italy",6.25983138,8.291348365,76.8195122,9.29e+11,0.075009005,153011,54.570652173913,"0"
"Jamaica",14.32953903,11.43398394,72.903,4404970059,0.586246397,997.693,85,"0"
"Japan",25.7127193,-0.177423929847826,78.81804878,4220945005,4.291026897,1107,94,"0"
"Kazakhstan",51.1698199020978,-0.177423929847826,68.2902439,80623586141.9453,0.268071844,6593.18458695652,54.570652173913,"0"
"Kenya",13.78931728,6.815211935,57.967,8283114648,3.466411663,951.093,83,"0"
"Kyrgyz Republic",51.1698199020978,-0.177423929847826,67.90731707,41119721.65,2.518427178,23,79,"0"
"Cambodia",51.1698199020978,-0.177423929847826,53.302,80623586141.9453,1.437939617,6593.18458695652,97,"0"
"Kiribati",5.700165446,-0.177423929847826,59.209,2.47e+11,0.989093268,6593.18458695652,89,"0"
"Korea, Rep.",3.342033591,-0.177423929847826,71.04878049,24312117767,2.807408655,6593.18458695652,94,"0"
"Kuwait",51.1698199020978,-0.177423929847826,71.985,80623586141.9453,2.090178019,6593.18458695652,54.570652173913,"0"
"Latin America & Caribbean (excluding high income)",61.33259651,-0.177423929847826,67.52988003,714046821.1,2.893164759,6593.18458695652,21,"0"
"Lao PDR",11.43213181,-0.177423929847826,52.935,80623586141.9453,1.917242901,6593.18458695652,54.570652173913,"0"
"Lebanon",15.17346811,-0.177423929847826,69.969,80623586141.9453,1.923000886,6593.18458695652,54.570652173913,"0"
"Liberia",51.1698199020978,-0.177423929847826,46.174,80623586141.9453,0.5082722,6593.18458695652,54.570652173913,"0"
"Libya",51.1698199020978,-19.15344956,68.141,2717998688,1.543371016,6593.18458695652,79,"0"
"St. Lucia",14.72824556,3.405381815,70.81,495404888.1,2.157499008,617,81,"0"
"Latin America & Caribbean",51.1698199020978,-0.177423929847826,67.96019484,80623586141.9453,-1.305325837,625,54.570652173913,"0"
"Sri Lanka",1.511839709,-0.177423929847826,69.352,80623586141.9453,2.537955896,8034,87,"0"
"Lesotho",51.1698199020978,-0.177423929847826,60.003,80623586141.9453,0.795883483,6593.18458695652,54.570652173913,"0"
"Lithuania",3.370958873,-0.177423929847826,71.42536585,10037674038,0.972627746,6593.18458695652,90,"0"
"Luxembourg",8.770945542,-1.710777629,74.75241463,2705659767,3.675380059,6593.18458695652,54.570652173913,"0"
"Latvia",9.012995946,12.1386915,70.15536585,3175638333,2.846655494,342,45,"0"
"Macao SAR, China",12.44636205,0.400390989,76.99,1590215583,4.95670233,267,87,"0"
"Morocco",2.813200897,4.244741986,64.157,38848567631,2.932019135,22480.1,84,"0"
"Moldova",7.165858895,-0.177423929847826,67.605,189514434.2,3.150705501,113,91,"0"
"Madagascar",-0.076692998,-0.177423929847826,50.53,2181810276,1.522869111,502,26,"0"
"Maldives",0.847691359,-0.177423929847826,60.664,2118574772,0.973294582,1479,47,"0"
"Mexico",12.9326821,1.874372837,70.469,1450647019,2.631576771,222,28,"0"
"Middle income",12.67004209,4.572312978,63.72106498,2181930255,0.765914828,986,85,"0"
"North Macedonia",20.00787671,-0.177423929847826,70.942,2.21e+11,1.937088899,35171,65,"0"
"Mali",51.1698199020978,-0.177423929847826,45.323,135200000,2.233949043,6593.18458695652,95,"0"
"Malta",9.304361258,-0.177423929847826,76.44526829,80623586141.9453,1.918774148,6593.18458695652,54.570652173913,"0"
"Myanmar",51.1698199020978,-0.177423929847826,56.505,80623586141.9453,0.572135161,6593.18458695652,54.570652173913,"0"
"Montenegro",51.1698199020978,-0.177423929847826,74.31797561,3576966800,2.425052313,963,84,"0"
"Mongolia",51.1698199020978,-0.177423929847826,59.992,80623586141.9453,-0.138716842,6593.18458695652,54.570652173913,"0"
"Mozambique",3.259969492,-0.177423929847826,44.887,26314220188,1.873404742,5492.5,80,"0"
"Mauritania",51.1698199020978,-0.177423929847826,59.405,80623586141.9453,0.37511457,105,47,"0"
"Mauritius",27.19852645,-0.177423929847826,69.12402439,1674823311,1.598176151,192.934,50,"0"
"Malawi",51.1698199020978,-0.177423929847826,46.038,2535113565,3.634191118,1122,54.570652173913,"0"
"Malaysia",8.846886912,-0.177423929847826,70.612,3525228153,2.327032037,159.355,44,"0"
"North America",1.082158103,-0.177423929847826,75.22629846,2.58e+11,0.599907213,104330,97,"0"
"Namibia",51.1698199020978,-0.177423929847826,61.42,2185082944,1.965284643,766,54.570652173913,"0"
"New Caledonia",5.715991551,-0.177423929847826,69.08536585,43920222525,0.480054396,8783.97,80,"0"
"Nigeria",-2.84352518,-0.177423929847826,45.939,2179567108,3.024798097,363,13,"0"
"Nicaragua",50.46668812,-6.612412439,63.549,44003061108,2.612570988,10000,47,"0"
"Netherlands",4.905312465,-0.177423929847826,76.73414634,80623586141.9453,1.033918322,6593.18458695652,54.570652173913,"0"
"Norway",51.1698199020978,-0.177423929847826,76.5004878,80623586141.9453,0.067879466,6593.18458695652,54.570652173913,"0"
"Nepal",4.546143355,-0.177423929847826,53.551,1.03e+11,0.412807535,23675.7,83,"0"
"New Zealand",51.1698199020978,9.852250302,74.82439024,9372171651,3.687516283,2364,98,"0"
"Oman",7.844264737,-0.177423929847826,66.593,40171018229,3.033970861,7143,40,"0"
"Pakistan",0.205867258,-0.177423929847826,59.799,5918469800,2.124900855,317.879,70,"0"
"Panama",4.480445513,17.61143188,72.747,3546460177,2.418087267,1404,53,"0"
"Peru",26.42212672,-0.177423929847826,65.56,4757732200,2.729205386,760,61,"0"
"Papua New Guinea",12.24299065,9.321476328,56.168,48513735777,2.595116126,7766.68,86,"0"
"Puerto Rico",12.68630365,-0.177423929847826,74.29895122,60594092182,-0.145920471,19072,88,"0"
"Korea, Dem. People's Rep.",51.1698199020978,-0.177423929847826,69.611,28161200000,0.909864623,6593.18458695652,54.570652173913,"0"
"Portugal",3.3,-0.177423929847826,74.26585366,6487912088,3.994128599,1326,81,"0"
"Paraguay",51.1698199020978,-0.177423929847826,68.343,42105263158,0.449148207,8435,96,"0"
"French Polynesia",51.1698199020978,-0.177423929847826,68.424,5.07e+11,0.586603533,6593.18458695652,54.570652173913,"0"
"Qatar",1.010278248,-0.177423929847826,75.593,2405021933,2.62857701,333,82,"0"
"Romania",6.462561711,-0.177423929847826,69.53073171,122888609.7,0.350135215,75,66,"0"
"Russian Federation",51.1698199020978,-0.177423929847826,69.17170732,80623586141.9453,2.635158424,6593.18458695652,63,"0"
"Rwanda",1.032644903,-0.177423929847826,38.439,95344352824,3.879975247,6593.18458695652,96,"0"
"Saudi Arabia",0.447309341,-0.177423929847826,68.611,6366039353,3.01461279,693,47,"0"
"Sudan",51.1698199020978,-19.70670541,55.334,932974411.9,2.325563991,138,54.570652173913,"0"
"Senegal",2.345456272,1.970538148,56.818,30465364739,2.935743735,49655.9,90,"0"
"Singapore",51.1698199020978,-0.177423929847826,74.94634146,80623586141.9453,0.481564765,6593.18458695652,54.570652173913,"0"
"Sierra Leone",14.93224787,14.06075251,39.009,172681320.8,2.77360955,114,67,"0"
"El Salvador",51.1698199020978,-0.177423929847826,63.05,1092392963,1.811233156,6593.18458695652,18,"0"
"Somalia",14.73091828,2.350216101,45.634,99030856825,2.33472461,18498,71,"0"
"South Sudan",51.1698199020978,-0.177423929847826,42.825,80623586141.9453,0.478209711,6593.18458695652,54.570652173913,"0"
"Sao Tome and Principe",6.79143584,2.763899851,58.392,4.15e+11,0.156776198,71469,93,"0"
"Suriname",11.56753609,-0.177423929847826,67.341,6987267684,1.345122044,2187.53,87,"0"
"Slovak Republic",4.372637664,6.350404806,71.02634146,486666666.7,1.800524954,6593.18458695652,92,"0"
"Slovenia",2.833931608,5.412263943,72.70487805,214745002.2,0.50373695,6593.18458695652,98,"0"
"Sweden",66.72032193,-0.177423929847826,77.72682927,15291507937,3.177247396,671.778,60,"0"
"Eswatini",0.769646742,-0.177423929847826,61.885,542600000,2.087971023,541.737,72,"0"
"Syrian Arab Republic",6.443275874,-0.177423929847826,70.207,2.18e+11,0.667182921,51547,99,"0"
"Chad",3.155269797,2.763899851,46.91,2.08e+11,0.808536056,51525,90,"0"
"Togo",11.39921722,-0.177423929847826,55.784,18609532294,3.037061543,2986,94,"0"
"Thailand",51.1698199020978,-0.177423929847826,70.071,80623586141.9453,2.929957503,6593.18458695652,54.570652173913,"0"
"Tajikistan",25.84983826,-0.177423929847826,59.138,4420168102,3.082181125,990,77,"0"
"Turkmenistan",5.35546508,5.779725927,62.82,72250877410,1.59161076,25770.4,84,"0"
"Timor-Leste",51.1698199020978,-0.177423929847826,47.661,80623586141.9453,2.382855177,6593.18458695652,54.570652173913,"0"
"Tonga",-0.839403117,-0.177423929847826,68.799,1352949663,2.786770703,245,72,"0"
"Trinidad and Tobago",4.073643648,-0.177423929847826,67.957,106344855,0.270270435,53.934,93,"0"
"Tunisia",11.43213181,5.71772755,68.176,4323058824,0.720563414,1578.09,77,"0"
"Turkiye",7.74088604,-0.177423929847826,63.763,10102075213,2.256957298,4374,93,"0"
"Tanzania",63.27255249,-0.177423929847826,50.403,80623586141.9453,1.87820890900543,6593.18458695652,79,"0"
"Uganda",51.1698199020978,-0.177423929847826,46.492,3006988217,2.598398471,6593.18458695652,54.570652173913,"0"
"Uruguay",51.1698199020978,-0.177423929847826,72.386,82709199437,0.487928631,6593.18458695652,54.570652173913,"0"
"United States",4.75849261542857,2.763899851,75.01707317,41464995914,5.88392357,17596,84,"0"
"Uzbekistan",5.760249092,5.47171804,66.512,9.27e+11,0.26031145,152345,78,"0"
"St. Vincent and the Grenadines",4.82700303,6.690686925,70.451,5.64e+12,0.944405555,6593.18458695652,94,"0"
"Venezuela, RB",80.44743673,27.01993521,70.491,8438951476,0.646030379,1598,88,"0"
"Virgin Islands (U.S.)",51.1698199020978,-0.177423929847826,73.9782439,80623586141.9453,2.409693809,6593.18458695652,54.570652173913,"0"
"Vietnam",7.748049052,9.912137857,70.252,154013202.1,2.468578493,71,61,"0"
"World",51.1698199020978,-0.177423929847826,65.24704931,6293304975,2.171866033,6593.18458695652,88,"0"
"Samoa",51.1698199020978,-0.177423929847826,66.085,80623586141.9453,0.088121871,6593.18458695652,54.570652173913,"0"
"Yemen, Rep.",6.999092533,-0.177423929847826,56.881,80623586141.9453,1.738568625,6593.18458695652,54.570652173913,"0"
"South Africa",51.1698199020978,-0.177423929847826,63.035,80623586141.9453,4.182361148,6593.18458695652,56,"0"
"Zimbabwe",51.1698199020978,-0.177423929847826,59.235,8286322700,3.0470116,1623,87,"0"
