"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Afghanistan",13.06000042,3.320870904,8.550524874,59.93,12881353508,-0.767342959,5574.776942,99,-0.0308189,3.4,23.86,"0"
"Angola",11.32999992,4.858590628,-6.339904754,53.243,1.71e+11,1.636169438,79298,93,-1.093989,3.2,10.18,"0"
"Albania",3.792999983,12.47582913,-5.723724308,75.912,88538611205,3.710554891,20982,49,-0.3629115,1.9,1.9,"0"
"Arab World",7.05427229439674,5.333806398,5.794591791,69.94217387,1370070370,1.611386336,65.456523,99,0.8139328,2.89891304347826,38,"0"
"United Arab Emirates",9.724742137,11.27066524,1.7523493572337,75.957,2.25e+12,2.453954266,43034.5069053913,78.0869565217391,-0.136695373913043,2.89891304347826,18.59709615,"1"
"Argentina",7.840000153,9.66012235506522,1.7523493572337,74.952,3.62e+11,0.992570476,70018.3,93,-0.0852222,2.9,28.11262348,"0"
"Armenia",14.39299965,8.949953354,10.43491465,72.946,11662040714,-0.856135895,4426.1,89,-0.0093653,2.9,6.21,"0"
"Antigua and Barbuda",7.05427229439674,8.955987052,5.98090699,75.535,2745251397,0.134262662,43034.5069053913,78.0869565217391,1.319141,2.89891304347826,52,"0"
"Australia",4.230000019,4.35029855,4.1043511,81.39512195,1.06e+12,2.00402174,187256.679,92,0.9556448,8.7,71.67,"1"
"Austria",4.130000114,3.215950332,1.7523493572337,80.43170732,4.32e+11,0.313041438,181288.9952,83,1.339206,8.1,72.87,"0"
"Azerbaijan",5.860000134,20.84908718,-6.272592651,70.201,48852482960,2.099854033,30586.343,81,-0.3334748,1.9,17.08,"0"
"Burundi",8.180000305,4.489559954,3.952701096,55.721,1.05e+10,1.848035245,320015.953385,93,0.7748387,6.40714285714286,31.54,"0"
"Benin",4.566999912,8.901944895,4.661742572,58.654,91631278239,1.145647438,23860,96,-1.505937,2.1,2.5,"0"
"Burkina Faso",8.119999886,8.108108108,8.170685313,55.618,4.79e+09,0.445720486,487.795,85,1.070772,7,61.4,"0"
"Bangladesh",7.032000065,14.83787648,-10.44729539,69.072,60763483146,-0.345415054,32570.8,97,0.5184895,2,23,"0"
"Bulgaria",6.980000019,4.489444205,1.01104022071429,72.96341463,5.17e+11,0.789976845,471840.2527,99,0.6212433,7.3,66,"0"
"Bahrain",8.180000305,9.66012235506522,11.26103924,75.77,1351338650,2.572052793,837.12,94,0.1879595,2.9,26.3,"0"
"Bahamas, The",0.941999972,7.947298761,-1.362331084,72.022,9787735426,2.823522041,1282.255,75,0.3745913,3.1,1.85,"1"
"Bosnia and Herzegovina",3.654999971,8.327160494,7.907932153,75.665,1227808791,1.008325889,521.415,96,0.7205909,5.2,6.55,"1"
"Belarus",2.599999905,14.00681077,3.163720043,70.45609756,16674324634,1.691117977,43034.5069053913,88,-0.6955554,3,12.5,"1"
"Belize",23.40999985,7.427043103,-0.332619168,71.059,19112739398,-0.226950769,5021.083,91,-0.5403688,3.2,34.66,"0"
"Bolivia",16.6420002,12.70218839,11.27885187,66.937,10945070442,2.119678612,4950.877,96,1.032002,5.8,6.25,"0"
"Barbados",6.348999977,2.084980237,-6.382603351,78.184,14393099069,1.180047761,10319.089,98,1.126965,2.89891304347826,46,"0"
"Brunei Darussalam",5.610000134,12.3487196,2.554031351,74.494,54438966420,-0.701922745,36908.15683,95,0.3706311,3.6,39.67,"0"
"Bhutan",3.413000107,10.6597979,-3.82524863,67.325,9451436359,3.024898725,693.159,93,0.120163,3.5,0.92,"0"
"Botswana",1.629999995,24.40695104,-6.194835556,56.679,1611835902,3.301182346,402.688,92,-1.638164,1.9,0.81,"0"
"Central African Republic",10.72999954,6.774435464,6.222437435,46.161,1789333749,1.20912058,31.982,99,0.8134955,5.1,14,"0"
"Canada",0.819999993,24.09685193,1.7523493572337,80.69512195,10351914093,1.479373723,4708.01,91,-0.3004693,1.8,0.51,"1"
"Central Europe and the Baltics",3.411999941,5.337806276,1.7523493572337,74.57595268,27715144580,2.750833439,5240.985,84,-0.5508961,2.3,3.4,"0"
"Switzerland",6.139999866,2.370270674,0.716869844,81.99268293,1.55e+12,1.082907116,419010.6,92,1.04185,8.7,76.7,"1"
"Channel Islands",9.072099409,8.067647673,1.7523493572337,81.041,70340114413,0.667003834,43034.5069053913,78.0869565217391,-0.136695373913043,2.89891304347826,27.66798763,"0"
"Chile",5.46999979,9.258950994,1.7523493572337,78.33,267587875984.33,1.779310088,300,78.0869565217391,-1.842395,2,23.1123933390163,"1"
"China",6.604720238,6.358663802,1.7523493572337,73.835,267587875984.33,-0.357629035,43034.5069053913,78.0869565217391,-0.136695373913043,2.89891304347826,23.1123933390163,"0"
"Cote d'Ivoire",0.941999972,10.29697582,1.7523493572337,51.682,10393834721,3.323315685,4168.556,19,-1.966756,1.6,1.19,"0"
