"","Life_Expect","GDP","Population","Trade","Developed"
"Kenya",54.749,2969942180,3.712081326,1025.78,"0"
"Kyrgyz Republic",61.33290244,85637174.37,1.438500318,33.942,"0"
"Cambodia",28.04,20140516033.6165,2.274430648,1790.43564722826,"0"
"Kiribati",54.027,19544094741,1.71270542,1790.43564722826,"0"
"Kuwait",67.426,20140516033.6165,2.19837318,1790.43564722826,"0"
"Latin America & Caribbean (excluding high income)",61.66192049,20140516033.6165,2.42556582,1790.43564722826,"0"
"Lao PDR",47.449,20140516033.6165,2.370794797,1790.43564722826,"0"
"Lebanon",66.995,20140516033.6165,2.407030674,1790.43564722826,"0"
"Liberia",42.061,20140516033.6165,0.880573503,1790.43564722826,"0"
"Libya",59.77,20140516033.6165,2.185068549,1790.43564722826,"0"
"St. Lucia",65.515,150846210.4,2.484906361,120.071,"0"
"Latin America & Caribbean",62.20354992,20140516033.6165,2.730794976,288,"0"
"Sri Lanka",65.694,20140516033.6165,4.273939501,2762.36,"0"
"Lesotho",52.731,20140516033.6165,0.903795649,1790.43564722826,"0"
"Lithuania",71.24414634,3183637117,1.304058168,1790.43564722826,"0"
"Luxembourg",70.54256098,20140516033.6165,-1.081368912,1790.43564722826,"0"
"Latvia",69.74097561,1917508190,2.804342986,281.062,"0"
"Macao SAR, China",71.4,548621017.6,2.744167852,120.483,"0"
"Morocco",54.066,9496074114,2.373680194,4114.11,"0"
"Moldova",65.221,20140516033.6165,3.389058842,3.965,"0"
"Madagascar",46.656,538747268.3,1.776824777,179.71,"0"
"Maldives",47.368,376094108.5,-0.067527758,134.01,"0"
"Mexico",63.378,613010958.1,2.961788173,180,"0"
"Middle income",57.98822125,20140516033.6165,1.5174192,312.466,"0"
"North Macedonia",67.77541463,7.2e+10,2.874440397,6056.57,"0"
"Mali",35.205,20140516033.6165,0.301465864,1790.43564722826,"0"
"Malta",72.11119512,20140516033.6165,2.186520421,1790.43564722826,"0"
"Myanmar",50.503,20140516033.6165,1.283496468,1790.43564722826,"0"
"Montenegro",71.52385366,20140516033.6165,2.900060276,1790.43564722826,"0"
"Mongolia",56.676,20140516033.6165,1.624172144,1790.43564722826,"0"
"Mozambique",42.451,7675408486,2.116192076,1707.74,"0"
"Mauritania",51.935,20140516033.6165,2.434863343,298,"0"
"Mauritius",63.99997561,1000557950,2.300100299,177.045,"0"
"Malawi",41.744,20140516033.6165,2.928587384,1790.43564722826,"0"
"Malaysia",66.117,1217953547,2.14802552,66.108,"0"
"North America",72.07959682,87243413395,0.78367225,38948.6,"0"
"Namibia",54.82,637403479.7,1.926841887,279,"0"
"New Caledonia",64.82439024,13940981798,2.085288594,3648.48,"0"
"Niger",36.633,1520900045,3.086670788,561.68,"0"
"Nigeria",42.729,1026136974,2.788971935,96.7345,"0"
"Nicaragua",55.833,24846641318,2.566080758,2772.11,"0"
"Netherlands",74.53682927,20140516033.6165,0.964277187,1790.43564722826,"0"
"Norway",74.75365854,20140516033.6165,0.866667851,1790.43564722826,"0"
"Nepal",43.151,27145693810,0.620349415,8420.48,"0"
"New Zealand",71.92439024,1645917776,4.241792475,822.774,"0"
"Oman",53.76,8899191919,2.822868355,2206.13,"0"
"Pakistan",54.613,2188307600,2.735515997,822.44,"0"
"Panama",67.527,1467346060,2.440535044,653.829,"0"
"Peru",56.994,1333475397,2.392653642,198.3,"0"
"Philippines",63.185,13858441211,2.708053712,1530.54,"0"
"Papua New Guinea",48.815,15607825070,2.833417716,3471.39,"0"
"Poland",71.11707317,20140516033.6165,0.95978577,8320.7,"0"
"Puerto Rico",72.73790244,17512391476,1.394878048,4495.98,"0"
"Korea, Dem. People's Rep.",62.896,7684800000,2.080244004,1790.43564722826,"0"
"Paraguay",65.964,20140516033.6165,0.925588793,5554.93,"0"
"French Polynesia",61.469,20140516033.6165,0.573468037,1790.43564722826,"0"
"Qatar",70.254,308458423.2,3.002579845,58.3369,"0"
"Romania",69.4997561,20140516033.6165,0.891498603,26.2274,"0"
"Russian Federation",68.3202439,20140516033.6165,2.098314342,1790.43564722826,"0"
"Rwanda",45.084,45412971909,4.978489905,1790.43564722826,"0"
"Saudi Arabia",57.078,2099324950,2.885868292,391.143,"0"
"Sudan",53.43,648590642.9,2.064056134,143.951,"0"
"Senegal",42.442,5221534956,1.664142592,5809.58,"0"
"Singapore",69.83478049,20140516033.6165,1.032645526,1790.43564722826,"0"
"Solomon Islands",59.233,20140516033.6165,0.532626458,1790.43564722826,"0"
"Sierra Leone",38.032,84539332.28,3.82483309,26.2426,"0"
"El Salvador",55.948,467577432.2,3.369099376,1790.43564722826,"0"
"Somalia",42.494,36807721038,2.638930346,8687.86,"0"
"South Sudan",37.378,20140516033.6165,2.457412615,1790.43564722826,"0"
"Sao Tome and Principe",57.597,97274006346,1.09260761,15427.6,"0"
"Suriname",63.964,3574586466,1.868173763,527.11,"0"
"Slovak Republic",70.17590244,20140516033.6165,0.999544715,1790.43564722826,"0"
"Slovenia",70.16097561,32924215.86,1.125547947,1790.43564722826,"0"
"Sweden",74.9804878,4.6e+09,3.371953752,350.431,"0"
"Eswatini",50.919,409850000,-0.89241576,269.468,"0"
"Syrian Arab Republic",61.872,66013338965,0.290164816,16682.5,"0"
"Chad",43.059,98641449064.7857,0.538520833,14445.1,"0"
"Togo",48.958,4244670160,3.426357064,1227.26,"0"
"Thailand",61.459,20140516033.6165,2.863872646,1790.43564722826,"0"
"Tajikistan",55.675,20140516033.6165,3.213499727,403.426,"0"
"Turkmenistan",59.488,13703000530,2.684631156,3143.25,"0"
"Timor-Leste",36.66,20140516033.6165,1.662419977,1790.43564722826,"0"
"Tonga",65.322,560437742.6,2.286640899,119.401,"0"
"Trinidad and Tobago",65.368,20140516033.6165,0.717308939,6.61067,"0"
"Tunisia",55.704,2042031901,1.463064736,1845.88,"0"
"Turkiye",54.741,3545933562,2.223793404,1128.05,"0"
"Tanzania",48.472,20140516033.6165,2.08866747433696,1790.43564722826,"0"
"Uganda",49.715,20140516033.6165,2.771326986,1790.43564722826,"0"
"Ukraine",69.80885366,2100142653,2.583319076,315,"0"
"Uruguay",68.941,20140516033.6165,0.676745672,1790.43564722826,"0"
"St. Vincent and the Grenadines",65.069,1.55e+12,0.913660196,1790.43564722826,"0"
"Venezuela, RB",66.729,4090209682,0.070241848,382.18,"0"
"Virgin Islands (U.S.)",70.21758537,20140516033.6165,2.630958079,1790.43564722826,"0"
"Vietnam",60.112,20140516033.6165,3.174703163,30.6162,"0"
"Vanuatu",56.582,26100930233,2.875033557,1790.43564722826,"0"
"World",60.54063378,20140516033.6165,2.236503082,1790.43564722826,"0"
"Yemen, Rep.",41.219,20140516033.6165,1.929549363,1790.43564722826,"0"
"South Africa",54.856,20140516033.6165,1.967862599,1790.43564722826,"0"
"Zambia",51.7,3121833333,3.387480989,787.353,"0"
"Zimbabwe",57.688,3982161400,3.466976248,863.074,"0"
