"","Life_Expect","GDP","Population","Trade","Developed"
"Aruba",70.519,2155555498,2.479516591,243,"0"
"Afghanistan",39.558,20140516033.6165,2.297214176,1790.43564722826,"0"
"Angola",42.374,13210029612,2.757254814,4686.72,"0"
"Albania",68.343,20140516033.6165,3.987886048,1202,"0"
"Arab World",54.64286724,20140516033.6165,-0.853606957,70.012,"0"
"United Arab Emirates",64.525,1.43e+11,2.868440264,1790.43564722826,"1"
"Argentina",67.686,72436777342,1.606684604,3930.7,"0"
"Armenia",70.775,20140516033.6165,2.222625592,1790.43564722826,"0"
"Antigua and Barbuda",66.727,20140516033.6165,0.481936625,1790.43564722826,"0"
"Australia",72.23609756,88981577008,2.531220259,11015.9,"1"
"Austria",71.01219512,35189299912,0.170205768,7161.1,"0"
"Azerbaijan",63.687,20140516033.6165,1.735382918,1790.43564722826,"0"
"Burundi",44.865,632400000,1.956290022,19710.9692857143,"0"
"Belgium",71.98585366,20140516033.6165,5.039779613,1790.43564722826,"1"
"Benin",44.337,12512460520,1.620042646,1078.42,"0"
"Burkina Faso",41.025,311809337.5,0.642585338,203.954,"0"
"Bangladesh",47.396,98641449064.7857,0.64939628,19710.9692857143,"0"
"Bulgaria",71.20804878,56033077879,0.314633665,19710.9692857143,"0"
"Bahrain",66.421,103216374.3,1.543398033,44.9242,"0"
"Bahamas, The",66.593,554654787,2.340398842,34.3986,"1"
"Bosnia and Herzegovina",68.39,20140516033.6165,3.162148677,1790.43564722826,"1"
"Belarus",70.06807317,2100249875,2.1983876,1790.43564722826,"1"
"Belize",67.354,98641449064.7857,1.147078454,19710.9692857143,"0"
"Bolivia",47.355,306033848.4,3.530891699,120.815,"0"
"Brazil",60.513,1.1e+11,2.364459527,7951,"0"
"Barbados",69.756,1073577086,4.317748261,980,"0"
"Brunei Darussalam",64.709,20140516033.6165,0.667967361,4325.77,"0"
"Bhutan",41.784,751133330.6,1.83041161,36.0101,"0"
"Botswana",55.957,345263492.1,1.1393001,43.0984,"0"
"Central African Republic",45.504,20140516033.6165,-0.310366481,2.07085,"0"
"Canada",73.23756098,588443893.7,1.122636655,19,"1"
"Central Europe and the Baltics",70.30593937,2157415246,2.719541289,436.662,"0"
"Switzerland",74.28707317,1.6e+11,1.396021669,34248.4,"1"
"Channel Islands",72.261,6595605183,1.161002005,1790.43564722826,"0"
"Chile",64.917,20140516033.6165,1.546727609,45.9973,"1"
"China",63.134,20140516033.6165,0.8181328,1790.43564722826,"0"
"Cote d'Ivoire",47.418,652532796.1,2.327601862,37.4093,"0"
"Cameroon",48.675,20140516033.6165,0.765173341,1790.43564722826,"0"
"Congo, Dem. Rep.",45.026,16210404184,1.575088507,2480.5,"0"
"Congo, Rep.",52.249,1.44e+11,2.065955013,7791.15,"0"
"Colombia",64.047,12370029584,2.207331771,1597.2,"0"
"Comoros",47.441,20140516033.6165,2.38726,8.88233,"0"
"Cabo Verde",56.609,9596960180,2.691289798,1790.43564722826,"0"
"Costa Rica",68.17,585364635.4,2.953470154,1790.43564722826,"0"
"Caribbean small states",66.61829172,1666544754,2.464705096,440.3,"0"
"Cuba",71.707,3070151901,4.678383682,1790.43564722826,"0"
"Cyprus",73.53,20140516033.6165,0.45752584,1790.43564722826,"0"
"Czech Republic",70.08658537,11405957317,1.536634618,2648,"0"
"Germany",71.19541463,20140516033.6165,1.129939603,152.202,"1"
"Djibouti",51.442,20140516033.6165,0.664900388,1790.43564722826,"0"
"Denmark",73.80829268,34160444798,0.46559401,9926.53,"0"
"Algeria",52.218,2925700000,2.621255771,636.83,"0"
"Ecuador",60.258,6599259421,2.808791611,678.2,"0"
"Egypt, Arab Rep.",54.021,9228963225,2.17580145,1790.43564722826,"0"
"Eritrea",44.691,1665880000,2.39232956,462.56,"0"
"Estonia",69.59021951,20140516033.6165,2.786931924,1790.43564722826,"0"
"Ethiopia",43.894,20140516033.6165,0.865266081,1790.43564722826,"0"
"Finland",71.13487805,264311994.1,2.970150542,137.575,"1"
"Fiji",62.752,20140516033.6165,2.622436199,283.092,"0"
"France",72.60487805,558589870.9,2.014250444,272.631,"1"
"Micronesia, Fed. Sts.",60.473,24848821490,0.523542996,6813.11,"0"
"Gabon",50.425,2.86e+11,0.720023852,46259.3,"0"
"United Kingdom",72.52439024,555337985.7,3.428769923,287.346,"1"
"Georgia",68.718,1544216004,1.880542325,331.884,"0"
"Ghana",50.507,95797533.46,3.07045324,1790.43564722826,"0"
"Guinea",38.041,20140516033.6165,0.868346221,1790.43564722826,"0"
"Guinea-Bissau",41.925,2894409938,2.656193659,820.609,"0"
"Equatorial Guinea",41.021,25351306818,0.368183314,4385.17,"0"
"Greece",72.06463415,20140516033.6165,-0.504146082,9.50254,"0"
"Grenada",66.649,20140516033.6165,2.122432951,19.993,"0"
"Guatemala",54.676,3161499900,2.292122312,572.13,"0"
"Guam",67.235,20140516033.6165,1.51853645,112.374,"0"
"Guyana",62.072,98775328.95,1.528111733,43.1082,"0"
"Hong Kong SAR, China",72.61219512,433954545.5,1.08152619,255.003,"0"
"Honduras",55.124,565400000,1.715021768,125.23,"0"
"Croatia",69.25270732,1034500000,2.995036764,382.235,"0"
"Haiti",48.119,9388663646,3.160575854,1790.43564722826,"0"
"Hungary",69.24804878,20140516033.6165,0.446325662,5576,"0"
"Indonesia",54.843,1515190595,1.352920811,330.594,"0"
"India",50.374,99525899116,2.331906417,5135.88,"0"
"Ireland",71.47202439,25802409639,2.56152689,3841.9,"0"
"Iran, Islamic Rep.",54.463,46209092072,2.809976121,1790.43564722826,"0"
"Iraq",60.644,11516762614,3.244904118,2370.009,"0"
"Iceland",74.51170732,7896860615,1.656675285,3813.63,"0"
"Israel",71.66170732,20140516033.6165,2.975426108,1824.8,"0"
"Italy",72.73439024,2e+11,0.654388936,41089.3,"0"
"Jamaica",69.099,2375096249,1.580496981,604.048,"0"
"Japan",74.39390244,1197454207,2.997662891,154.95,"0"
"Kazakhstan",63.27992683,20140516033.6165,1.430232263,1790.43564722826,"0"
