"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Guinea-Bissau",37.25906649,0.415054764228261,47.095,5889174825,2.883226255,897,58,"0"
"Equatorial Guinea",20.43349911,0.415054764228261,48.775,97891092003,1.057808012,19777,54,"0"
"Greece",2.724237365,12.30758511,76.93902439,278098763,-0.625066715,105,80,"0"
"Grenada",74.8979605772065,0.415054764228261,69.598,90273908546.3461,2.29075345,82,58.2173913043478,"0"
"Guatemala",41.22186714,0.415054764228261,62.261,7650125217,2.734472527,1162.97,66,"0"
"Guam",74.8979605772065,3.314727695,71.925,2666750686,2.952379181,723,17,"0"
"Guyana",33.00197783,0.415054764228261,63.287,243961995.5,2.227409513,19,61,"0"
"Honduras",21.27603201,0.415054764228261,66.723,3096289800,2.011596519,160,41,"0"
"Croatia",23.32256644,-6.366507517,72.1704878,4923009552,2.878520724,937.698199,84,"0"
"Haiti",10.42654028,2.263935277,54.265,76928290842,0.321315033,7361.83569646196,58.2173913043478,"0"
"Hungary",28.36959965,0.415054764228261,69.31560976,90273908546.3461,-1.033117297,10340,99,"0"
"Indonesia",15.51072199,0.415054764228261,62.32,6468736287,0.777662199,1680.04,99,"0"
"India",8.971232503,5.269526998,57.865,3.21e+11,2.076089204,17969.1,70,"0"
"Ireland",7.819191447,10.73478336,74.80909756,1.06e+11,1.782055014,21837,60,"0"
"Iran, Islamic Rep.",7.627674938,0.415054764228261,63.837,1.25e+11,2.777823652,7361.83569646196,91,"0"
"Iraq",74.8979605772065,0.415054764228261,66.011,1.8e+11,2.465228127,10314,83,"0"
"Iceland",3.317321299,0.415054764228261,78.03634146,49305632408,0.084413021,23743,65,"0"
"Israel",17.26479146,0.415054764228261,76.60731707,90273908546.3461,3.094603009,12080,93,"0"
"Jamaica",21.96017512,4.302950753,73.204,4592224067,0.681560016,1927.84,86,"0"
"Japan",16.19213756,0.415054764228261,78.83682927,4160003917,4.78338753,1064,92,"0"
"Kazakhstan",74.8979605772065,0.415054764228261,68.33658537,26932729103,0.604342663,7361.83569646196,58.2173913043478,"0"
"Kenya",17.78181443,7.332797066,57.406,8572359163,3.384342362,1032.12,84,"0"
"Kyrgyz Republic",74.8979605772065,0.415054764228261,68.29756098,39809538.68,2.157257132,26.902,97,"0"
"Cambodia",74.8979605772065,0.415054764228261,53.595,90273908546.3461,1.485873302,7361.83569646196,98,"0"
"Kiribati",8.573272257,0.415054764228261,59.636,2.83e+11,0.985130494,7361.83569646196,74,"0"
"Korea, Rep.",9.833635315,0.415054764228261,71.59756098,18427777778,0.12244112,7361.83569646196,71,"0"
"Kuwait",74.8979605772065,0.415054764228261,72.15,2.68e+09,1.924484883,7361.83569646196,58.2173913043478,"0"
"Latin America & Caribbean (excluding high income)",35.64298297,0.415054764228261,67.90196435,865559856.2,2.849341226,7361.83569646196,18,"0"
"Lao PDR",21.73994434,0.415054764228261,53.364,90273908546.3461,1.878469299,7361.83569646196,58.2173913043478,"0"
"Lebanon",23.32256644,0.415054764228261,70.266,90273908546.3461,1.881912115,7361.83569646196,58.2173913043478,"0"
"Liberia",74.8979605772065,0.415054764228261,46.046,90273908546.3461,-0.142736398,7361.83569646196,58.2173913043478,"0"
"Libya",74.8979605772065,21.16039869,68.503,2838485354,2.770569311,7361.83569646196,82,"0"
"St. Lucia",11.634757,7.520733241,71.074,596415104.5,2.207179074,672,82,"0"
"Latin America & Caribbean",74.8979605772065,0.415054764228261,68.31372589,90273908546.3461,-1.45911129,570,58.2173913043478,"0"
"Sri Lanka",8.451462408,0.415054764228261,69.509,28901836158,2.458096396,5336,84,"0"
"Lesotho",74.8979605772065,0.415054764228261,59.837,90273908546.3461,0.36799903,7361.83569646196,58.2173913043478,"0"
"Lithuania",3.253766591,0.415054764228261,71.16073171,12778792854,1.251745707,7361.83569646196,90,"0"
"Luxembourg",7.969693844,-0.474799911,75.01041463,3246477995,3.261600464,7361.83569646196,58.2173913043478,"0"
"Latvia",11.78448383,12.46330729,69.27317073,3931334871,2.886365332,651,46,"0"
"Macao SAR, China",11.82353805,9.343112026,77.296,1880771556,3.560222407,417,87,"0"
"Morocco",2.617801047,4.795417723,64.732,44024178343,2.817284831,29452.41475,90,"0"
"Moldova",3.649911977,0.415054764228261,67.643,215043969.8,3.02847366,78,94,"0"
"Madagascar",0.606339704,0.415054764228261,51.003,2681959313,1.827214108,359,42,"0"
"Maldives",2.983405861,0.415054764228261,61.529,2547163582,0.978313699,1133,63,"0"
"Mexico",6.600225649,7.168106837,70.866,1506914408,2.61178932,469,33,"0"
"Middle income",13.48808879,6.706570629,63.96040955,2653480001,0.712313471,1618,85,"0"
"North Macedonia",26.65167256,0.415054764228261,71.14763415,2.61e+11,1.893130261,43548,53,"0"
"Mali",74.8979605772065,0.415054764228261,45.746,147200000,2.355571549,7361.83569646196,85,"0"
"Malta",11.39634612,0.415054764228261,76.78607317,90273908546.3461,1.895584663,7361.83569646196,58.2173913043478,"0"
"Myanmar",74.8979605772065,0.415054764228261,56.849,90273908546.3461,0.406673095,7361.83569646196,58.2173913043478,"0"
"Montenegro",74.8979605772065,0.415054764228261,74.44336585,2560785660,1.994635558,661,84,"0"
"Mongolia",74.8979605772065,0.415054764228261,60.268,90273908546.3461,-0.032812754,7361.83569646196,58.2173913043478,"0"
"Mozambique",6.782594015,0.415054764228261,45.261,30180108562,1.838166675,4265,81,"0"
"Mauritania",74.8979605772065,0.415054764228261,59.688,90273908546.3461,1.406143423,126,46,"0"
"Mauritius",17.62677503,0.415054764228261,69.40487805,2036373523,1.471389564,269.995,88,"0"
"Malawi",74.8979605772065,0.415054764228261,46.096,2789944498,3.326982761,1085,58.2173913043478,"0"
"Malaysia",8.239700375,0.415054764228261,70.865,3627562403,2.465735756,204,43,"0"
"Namibia",74.8979605772065,0.415054764228261,61.608,2529440424,2.368989136,883,58.2173913043478,"0"
"New Caledonia",6.098444148,0.415054764228261,70.48536585,45495129385,0.923222729,9501.05,90,"0"
