"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Aruba",32.7112138925,0.321699721755435,73.509,92770068468.2575,6.900124486,189,23,"0"
"Angola",25.88638693,0.321699721755435,45.271,45715614560,2.460262581,7770,89,"0"
"Albania",83.78378378,0.321699721755435,71.803,10603784541,3.324464731,1347,26,"0"
"Arab World",32.7112138925,9.788471409,64.73634052,481707407.4,1.318567747,295,94,"0"
"United Arab Emirates",9,0.321699721755435,72.208,4.39e+11,2.729938457,7622.18920020109,57.3097826086956,"1"
"Argentina",32.7112138925,0.321699721755435,71.813,1.9e+11,1.401455104,11978,80,"0"
"Armenia",32.7112138925,0.321699721755435,67.87,2069870130,-0.93463892,7622.18920020109,57.3097826086956,"0"
"Antigua and Barbuda",5.555555556,4.791125949,71.765,872138715.1,3.898738693,7622.18920020109,57.3097826086956,"0"
"Australia",3.17667537,10.06731688,77.27560976,3.26e+11,1.274577578,41854,93,"1"
"Austria",3.337427035,0.321699721755435,75.61707317,1.74e+11,0.998418103,50815,90,"0"
"Azerbaijan",32.7112138925,0.321699721755435,64.745,92770068468.2575,1.330445679,7622.18920020109,57.3097826086956,"0"
"Burundi",7.114681202,6.28283715,47.522,3111160000,1.848345656,86605.8492857143,92,"0"
"Belgium",0.764419736,11.47487059,76.19219512,4616223404,2.751521166,7622.18920020109,99,"1"
"Benin",6.357364123,11.71898735,54.366,30957483950,2.325300363,1689,74,"0"
"Burkina Faso",6.257526633,7.580613714,49.409,2020583702,0.374490009,207,82,"0"
"Bangladesh",5.12451384671429,1.94473146328571,58.891,1.8e+10,0.046135586,86605.8492857143,76.8571428571429,"0"
"Bulgaria",3.215310693,1.94473146328571,71.56097561,2.11e+11,0.371593166,86605.8492857143,92,"0"
"Bahrain",32.7112138925,17.99408388,72.598,444720750,1.89184126,256,82,"0"
"Bahamas, The",32.7112138925,0.321699721755435,70.518,1986437860,3.377241447,330,69,"1"
"Bosnia and Herzegovina",12.28070175,5.561450499,70.645,240319995.6,0.720082553,83,91,"1"
"Belarus",21.44706982,19.93217041,70.37804878,5343274312,2.113279611,7622.18920020109,43,"1"
"Belize",5.12451384671429,1.94473146328571,70.996,465107008525.143,-2.130834582,86605.8492857143,76.8571428571429,"0"
"Bolivia",11.76501608,6.327978951,56.721,3942792837,3.028462146,1849,93,"0"
"Barbados",1.6,0.321699721755435,74.892,3701667053,2.855475364,1208,95,"0"
"Bhutan",2.162600527,0.321699721755435,53.633,3135045684,2.676957423,106,53,"0"
"Botswana",8.996938735,8.348477598,58.232,1167398478,2.289546589,90,83,"0"
"Central African Republic",9.550907413,0.321699721755435,48.728,319827058.6,2.419357328,6,87,"0"
"Canada",32.7112138925,0.321699721755435,77.62195122,92770068468.2575,3.435353458,213,38,"1"
"Central Europe and the Baltics",0.060051331,0.321699721755435,70.5752213,11840192674,2.992329872,1834,42,"0"
"Channel Islands",5.853306033,0.321699721755435,75.673,17878504939,0.816606099,7622.18920020109,57.3097826086956,"0"
"Chile",-2.762362807,0.321699721755435,73.808,92770068468.2575,2.524808944,126,57.3097826086956,"1"
"China",118.5275789,0.321699721755435,69.242,92770068468.2575,-0.247113302,7622.18920020109,57.3097826086956,"0"
"Cote d'Ivoire",3.19387473,0.321699721755435,53.062,1877138042,3.198781679,249,18,"0"
"Cameroon",32.7112138925,0.321699721755435,53.088,92770068468.2575,0.561412942,7622.18920020109,57.3097826086956,"0"
"Congo, Dem. Rep.",21.78441243,5.918426113,49.225,37834793730,1.648442669,8170.89,94,"0"
"Congo, Rep.",3.556685652,1.804311854,54.281,3.83e+11,1.364434008,63791,94,"0"
"Colombia",30.34844055,15.28657276,69.936,49175565911,1.961624977,7113.7,84,"0"
"Comoros",32.7112138925,0.321699721755435,57.168,424108796.6,2.93867372,24,52,"0"
"Costa Rica",-1.67834969,0.321699721755435,75.844,2724853593,2.744314784,7622.18920020109,74,"0"
"Caribbean small states",28.70929137,-15.71773785,70.39400583,7196276092,2.614931929,1877,90,"0"
"Cuba",1.683348499,0.321699721755435,74.696,10492628915,3.603354468,7622.18920020109,39,"0"
"Cyprus",122.2222222,0.321699721755435,76.712,92770068468.2575,-1.866573531,7622.18920020109,57.3097826086956,"0"
"Czech Republic",32.7112138925,0.321699721755435,71.89829268,24316556026,0.719759841,2600,99,"0"
"Germany",5.035274388,0.321699721755435,75.3195122,5770197348,2.130119379,2620,94,"1"
"Djibouti",32.7112138925,0.321699721755435,56.831,29859921159,-0.240064842,7622.18920020109,57.3097826086956,"0"
"Denmark",2.395153317,0.321699721755435,75.15780488,1.39e+11,0.259518212,37824,90,"0"
"Dominican Republic",32.7112138925,0.321699721755435,66.932,462421998.5,2.748169166,17,53,"0"
"Ecuador",48.80382775,0.321699721755435,69.347,16988535268,2.333489945,2397.4,59,"0"
"Egypt, Arab Rep.",19.74854482,3.204638793,64.978,37387836491,2.272174221,7622.18920020109,76,"0"
