"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Eritrea",14.40267488,0.321699721755435,50.04,5252342400,1.359127706,1516.28,61,"0"
"Spain",-3.425287356,0.321699721755435,76.97121951,110906032.1,3.205787931,37.3,77,"1"
"Estonia",32.7112138925,0.321699721755435,69.37317073,92770068468.2575,0.340640837,7622.18920020109,57.3097826086956,"0"
"Ethiopia",32.7112138925,0.321699721755435,47.504,92770068468.2575,-0.502159185,7622.18920020109,57.3097826086956,"0"
"Finland",8.934306569,6.654776511,75.22756098,1156141998,2.739769254,718,79,"1"
"Fiji",35.72259823,-10.98741913,65.336,13463868357,3.532983139,472,21,"0"
"France",6.49734556,0.321699721755435,76.84878049,1383843860,0.932127765,450,99,"1"
"Micronesia, Fed. Sts.",4.310212898,1.94473146328571,63.715,1.28e+11,0.546172018,21809,95,"0"
"United Kingdom",32.7112138925,0.321699721755435,76.08292683,3267367651,1.887961097,128,57.3097826086956,"1"
"Georgia",-11.68611269,0.321699721755435,70.29,5402919957,2.731411734,2243,72,"0"
"Guinea",32.7112138925,0.321699721755435,50.593,6357615894,0.703475649,7622.18920020109,57.3097826086956,"0"
"Guinea-Bissau",18.03143901,0.321699721755435,47.411,6596546196,2.895978367,617,60,"0"
"Equatorial Guinea",19.45584564,0.321699721755435,49.229,1.05e+11,1.200352537,21580,85,"0"
"Greece",2.644603679,5.279920897,77.13658537,300757888.9,0.139011382,121,85,"0"
"Grenada",32.7112138925,0.321699721755435,69.937,92770068468.2575,2.327844449,72.557,57.3097826086956,"0"
"Guatemala",33.16642192,0.321699721755435,62.799,9406097735,2.689429601,1202.19,63,"0"
"Guam",32.7112138925,-1.048072246,72.167,3015058139,2.834843518,735,36,"0"
"Guyana",57.59528475,0.321699721755435,63.427,257150374.1,2.256497472,20,63,"0"
"Honduras",15.41990737,0.321699721755435,67.175,3473540602,1.979394877,166,36,"0"
"Croatia",33.97226025,-3.491085581,72.18536585,4648668479,2.850670099,985.455597,94,"0"
"Haiti",11.15879828,0.253094553,54.58,88959620136,0.829228336,7622.18920020109,57.3097826086956,"0"
"Hungary",34.81754291,0.321699721755435,69.37707317,34753569693,-0.005668183,11370,99,"0"
"Indonesia",6.808778879,0.321699721755435,62.727,6909730237,1.15914942,1759.56,99,"0"
"India",13.87024618,3.624716594,58.353,2.7e+11,2.039728736,17726.8,57,"0"
"Ireland",9.419058277,15.26787221,75.00526829,1.17e+11,1.736903237,25869,62,"0"
"Iran, Islamic Rep.",17.12856794,0.321699721755435,65.153,92770068468.2575,2.302368826,7622.18920020109,88,"0"
"Iraq",180.952381,0.321699721755435,66.653,407796349.7,2.664349326,377,78,"0"
"Iceland",3.210817028,0.321699721755435,77.99195122,49787501584,0.574927781,24224,67,"0"
"Israel",19.02398677,0.321699721755435,76.75853659,92770068468.2575,6.017008783,11921,94,"0"
"Jamaica",51.07109773,-8.574057862,73.485,4106199176,0.799637124,1736.37,85,"0"
"Japan",8.155495979,0.321699721755435,79.10073171,4344250257,5.313695462,1130,92,"0"
"Kazakhstan",32.7112138925,0.321699721755435,67.6,24923076923,0.632391826,7622.18920020109,57.3097826086956,"0"
"Kenya",20.08449558,5.745512648,56.736,8151479004,3.304762215,1108,86,"0"
"Kyrgyz Republic",32.7112138925,0.321699721755435,68.55121951,47515189.28,1.777082211,25.883,70,"0"
"Cambodia",32.7112138925,0.321699721755435,53.916,92770068468.2575,1.545639262,7622.18920020109,97,"0"
"Kiribati",9.332790482,0.321699721755435,60.053,3.31e+11,0.989785982,7622.18920020109,79,"0"
"Korea, Rep.",9.058188362,0.321699721755435,72.04634146,11008793176,-3.104609857,7622.18920020109,80,"0"
"Kuwait",32.7112138925,0.321699721755435,72.3,2569444444,1.635307708,7622.18920020109,57.3097826086956,"0"
"Latin America & Caribbean (excluding high income)",13.44155844,11.53229759,68.27279302,1028087972,2.796364758,7622.18920020109,22,"0"
"Lao PDR",21.78441243,0.321699721755435,53.799,92770068468.2575,1.836098124,7622.18920020109,57.3097826086956,"0"
"Lebanon",25.96746251,0.321699721755435,70.584,92770068468.2575,1.83984999,7622.18920020109,57.3097826086956,"0"
"Liberia",32.7112138925,0.321699721755435,46.097,92770068468.2575,-0.473114694,7622.18920020109,57.3097826086956,"0"
"Libya",32.7112138925,-6.531972115,68.85,4690415093,4.14639502,7622.18920020109,86,"0"
"St. Lucia",17.67810026,1.844037158,71.335,704329192.8,2.250456305,813,84,"0"
"Latin America & Caribbean",32.7112138925,0.321699721755435,68.66521467,92770068468.2575,-1.738406066,420,57.3097826086956,"0"
"Sri Lanka",11.8960953,0.321699721755435,69.62,31995012469,2.395907993,5361,87,"0"
"Lesotho",32.7112138925,0.321699721755435,59.464,92770068468.2575,0.170116869,7622.18920020109,57.3097826086956,"0"
"Lithuania",3.118356599,0.321699721755435,70.36414634,13834219728,1.33968317,7622.18920020109,91,"0"
"Luxembourg",9.568877659,-2.001758627,75.46341463,3765226191,2.812474335,7622.18920020109,57.3097826086956,"0"
"Latvia",8.592647605,15.60234805,69.03243902,3254713056,2.924088655,446,53,"0"
"Macao SAR, China",12.61531538,8.408556014,77.607,2203545857,2.061251014,469,87,"0"
"Morocco",4.358333333,5.56337121,65.251,49143148094,2.682076781,34350.26364,92,"0"
"Moldova",14.71367703,0.321699721755435,67.563,244396761.9,2.907677099,76.2,98,"0"
"Madagascar",1.80042722,0.321699721755435,51.595,2724101611,2.172847408,312,34,"0"
"Maldives",2.542192848,0.321699721755435,62.413,2750041434,2.695092892,1234,86,"0"
"Middle income",7.001013775,8.461089682,64.19559156,2856890681,1.079463625,1558,91,"0"
"North Macedonia",22.66235946,0.321699721755435,71.32565854,3.13e+11,1.852437377,51724.66,88,"0"
"Mali",32.7112138925,0.321699721755435,46.076,166200000,2.537517675,7622.18920020109,79,"0"
"Malta",13.44155844,0.321699721755435,77.08446341,92770068468.2575,1.777797497,7622.18920020109,57.3097826086956,"0"
"Myanmar",32.7112138925,0.321699721755435,57.18,92770068468.2575,0.216195569,7622.18920020109,57.3097826086956,"0"
"Montenegro",32.7112138925,0.321699721755435,74.51041463,2379018326,1.534721746,348,81,"0"
"Mongolia",32.7112138925,0.321699721755435,60.486,92770068468.2575,0.120809886,7622.18920020109,57.3097826086956,"0"
"Mozambique",7.986166008,0.321699721755435,45.647,32285388165,1.809377452,4284,81,"0"
"Mauritania",32.7112138925,0.321699721755435,59.914,3633406065,2.589792039,162,46,"0"
"Mauritius",32.27203829,0.321699721755435,69.95609756,2137184858,1.333757148,645.946,66,"0"
"Malawi",32.7112138925,16.39488875,46.121,2996885561,2.990635,1213,69,"0"
"Malaysia",15.55745293,0.321699721755435,71.106,3921476085,2.610501311,257,46,"0"
"Namibia",32.7112138925,0.321699721755435,61.531,2653780677,2.577967007,863,57.3097826086956,"0"
"New Caledonia",2.60239286,0.321699721755435,70.35853659,42745329732,1.77038531972826,8380.57,81,"0"
"Nigeria",-7.796641791,0.321699721755435,45.875,3285796980,3.21378172,355,19,"0"
"Nicaragua",13.0069731,0.990847346,65.011,49118433048,2.545945169,12264,39,"0"
"Netherlands",4.930414025,0.321699721755435,77,92770068468.2575,1.335375398,7622.18920020109,57.3097826086956,"0"
"Norway",32.7112138925,0.321699721755435,76.98073171,4938775510,-0.14608269,7622.18920020109,57.3097826086956,"0"
"Nepal",3.438195991,0.321699721755435,55.262,1.22e+11,0.476503585,25572.4,96,"0"
"New Zealand",32.7112138925,19.74477043,76.03170732,11341482445,4.404639855,4871,95,"0"
"Oman",11.79127034,0.321699721755435,67.739,45625234698,2.866822818,8438.77,50,"0"
"Pakistan",1.256260777,0.321699721755435,60.393,7074675500,2.089317601,358.448,82,"0"
"Panama",6.965681278,6.704507847,73.212,3787394958,2.348795848,1460,68,"0"
"Peru",24.22535211,0.321699721755435,66.757,6984367763,2.592762629,1460,66,"0"
"Papua New Guinea",19.26145853,5.73775233,56.823,51784207132,2.488547362,8801,90,"0"
"Poland",76.76949921,0.321699721755435,70.58780488,85500935935,0.354679168,13800,95,"0"
"Puerto Rico",11.84948418,0.321699721755435,74.03880488,89233599278,-0.230481754,26113,96,"0"
"Korea, Dem. People's Rep.",32.7112138925,0.321699721755435,69.879,32287031000,0.707415569,7622.18920020109,57.3097826086956,"0"
"Portugal",4.417293233,0.321699721755435,74.01463415,6883516484,2.29953399,1720,86,"0"
"French Polynesia",32.7112138925,0.321699721755435,69.007,5.18e+11,0.28668113,7622.18920020109,57.3097826086956,"0"
"Qatar",19.63716581,0.321699721755435,76.041,1911600970,-2.852175457,306,91,"0"
"Romania",-1.819197988,0.321699721755435,69.78439024,125597205.4,0.736240194,94,79,"0"
"Russian Federation",32.7112138925,0.321699721755435,68.47439024,92770068468.2575,2.270789229,7622.18920020109,87,"0"
"Rwanda",4.861111111,0.321699721755435,29.248,1.32e+11,3.265764052,7622.18920020109,91,"0"
"Saudi Arabia",-1.753556902,0.321699721755435,69.522,7255210701,2.999830551,1173,51,"0"
"Senegal",3.425701731,3.014293787,57.43,45466164978,2.845482865,66292.6,91,"0"
"Singapore",32.7112138925,0.321699721755435,75.64634146,14272201755,0.077472437,7622.18920020109,57.3097826086956,"0"
"Solomon Islands",114.8329356,0.321699721755435,64.527,92770068468.2575,0.063438224,7622.18920020109,57.3097826086956,"0"
"Sierra Leone",15.05013078,11.3875529,38.122,227641078.5,2.817541946,112,76,"0"
"El Salvador",32.7112138925,0.321699721755435,64.858,92770068468.2575,0.675036867,7622.18920020109,20,"0"
"Somalia",15.33480235,4.027493262,45.26,1.24e+11,2.465105146,23279,81,"0"
"South Sudan",32.7112138925,0.321699721755435,44.232,92770068468.2575,-1.327653228,7622.18920020109,57.3097826086956,"0"
"Sao Tome and Principe",5.934213443,1.94473146328571,58.188,5.77e+11,0.254527425,93306,86,"0"
"Suriname",12.18563072,0.321699721755435,67.519,9000362582,1.204569699,3054.1,86,"0"
"Slovak Republic",6.149550531,6.089792127,70.88292683,613703703.7,1.42582086,7622.18920020109,96,"0"
"Slovenia",5.49200387,6.065928382,73.35365854,254829629.6,0.262936773,7622.18920020109,99,"0"
"Sweden",123.5781269,0.321699721755435,77.66682927,11379222222,3.62548239,890.3,62,"0"
"Eswatini",25.96746251,-3.060093386,61.7,448100000,1.916512047,359,75,"0"
"Syrian Arab Republic",9.444627329,0.321699721755435,70.871,2.74e+11,0.681643118,49990,99,"0"
"Chad",5.859596635,1.94473146328571,47.108,2.69e+11,1.249826024,66485,89,"0"
"Togo",9,0.321699721755435,55.872,27756258352,2.923478838,3429,89,"0"
"Thailand",32.7112138925,0.321699721755435,70.3,1.35e+09,2.186910675,7622.18920020109,57.3097826086956,"0"
"Tajikistan",28.69565217,0.321699721755435,58.48,4956588279,3.327460565,1533,81,"0"
"Turkmenistan",5.709852599,9.124942558,62.784,98234695722,1.18512864,37568.7,90,"0"
"Timor-Leste",32.7112138925,0.321699721755435,49.345,92770068468.2575,2.900279418,7622.18920020109,57.3097826086956,"0"
"Tonga",0.387081798,0.321699721755435,69.049,1602299863,2.322598141,253,73,"0"
"Trinidad and Tobago",10.5954494,0.321699721755435,68.201,132201141.4,0.182857674,59.2393,88,"0"
"Tunisia",3.783102144,11.4180715,69.407,5307905882,0.651941373,1667.01,82,"0"
"Turkiye",8.193715095,0.321699721755435,64.757,13074782609,2.223702876,5189,93,"0"
"Tanzania",65.97856799,0.321699721755435,49.978,92770068468.2575,1.77038531972826,7622.18920020109,72,"0"
"Uganda",32.7112138925,0.321699721755435,45.252,3208098919,2.815860151,7622.18920020109,57.3097826086956,"0"
"Ukraine",32.7112138925,6.663524971,69.29804878,3321729057,3.394118734,196,49,"0"
"Uruguay",32.7112138925,0.321699721755435,72.757,77350733982,0.210026075,7622.18920020109,57.3097826086956,"0"
"United States",5.12451384671429,1.94473146328571,75.36585366,51552165622,5.776096321,24436,85,"0"
"St. Vincent and the Grenadines",4.234963965,4.915346478,70.669,6.16e+12,1.336260741,7622.18920020109,86,"0"
"Venezuela, RB",101.9716832,23.58921171,70.811,11205971155,0.706880006,1605,96,"0"
"Virgin Islands (U.S.)",32.7112138925,0.321699721755435,74.49195122,13677622222,2.132153512,7622.18920020109,57.3097826086956,"0"
"Vietnam",6.469135802,7.012154096,70.842,201334169.1,2.787329825,18.2103,83,"0"
"Vanuatu",32.7112138925,12.93846565,65.047,53476971831,2.33416545,7622.18920020109,64,"0"
"World",32.7112138925,0.321699721755435,65.61838085,9613369520,2.10754383,7622.18920020109,88,"0"
"Samoa",32.7112138925,0.321699721755435,66.47,92770068468.2575,0.808549694,7622.18920020109,57.3097826086956,"0"
"Yemen, Rep.",8.998469367,0.321699721755435,57.73,92770068468.2575,1.668108504,7622.18920020109,57.3097826086956,"0"
"South Africa",36,0.321699721755435,63.384,5930370370,4.933010681,7622.18920020109,47,"0"
"Zimbabwe",32.7112138925,0.321699721755435,56.749,8641481700,2.35500004,1532,87,"0"
