"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Aruba",72.293,3641723322,-0.407658192,841,4,"0"
"Afghanistan",43.244,42529485231.0127,2.047963861,4343.62985869565,94,"0"
"Angola",44.178,42346380831,3.030948586,10558,22.7934782608696,"0"
"Albania",70.208,5930503401,3.453859477,1883,22.7934782608696,"0"
"Arab World",58.34502231,131431026.7,-0.140539079,26.278,54,"0"
"United Arab Emirates",68.213,4.59e+11,3.267353182,4343.62985869565,22.7934782608696,"1"
"Argentina",69.496,76961923742,1.536980274,8021,44,"0"
"Armenia",70.937,42529485231.0127,1.647560567,4343.62985869565,22.7934782608696,"0"
"Antigua and Barbuda",68.482,42529485231.0127,0.208213686,4343.62985869565,22.7934782608696,"0"
"Australia",74.33365854,1.5e+11,1.21894271,22399,33,"1"
"Austria",72.46341463,82058912997,0.000105968,17489,90,"0"
"Azerbaijan",64.161,42529485231.0127,1.591266881,4343.62985869565,22.7934782608696,"0"
"Burundi",46.852,1335300000,2.20758881,41697.9285714286,36,"0"
"Belgium",73.20707317,3072698328,4.865902413,4343.62985869565,72,"1"
"Benin",47.19,18138049096,2.685759996,2599,22.7934782608696,"0"
"Burkina Faso",46.049,1012280615,0.413313144,226,60,"0"
"Bangladesh",52.9,232186854338.857,0.613722216,41697.9285714286,34.2857142857143,"0"
"Bulgaria",71.15756098,1.27e+11,0.110211166,41697.9285714286,95,"0"
"Bahrain",69.55,197938222.4,1.989948093,111,47,"0"
"Bahamas, The",67.488,1405251547,2.689537877,331,22.7934782608696,"1"
"Bosnia and Herzegovina",70.399,128717410.9,2.915395207,50,6,"1"
"Belarus",69.80202439,4526916803,2.128595642,4343.62985869565,11,"1"
"Belize",69.577,232186854338.857,0.986560413,41697.9285714286,34.2857142857143,"0"
"Bolivia",50.349,1060923829,3.720025771,692,71,"0"
"Brazil",62.63,2.37e+11,2.360482982,20132,37,"0"
"Barbados",72.222,4928824958,3.294869659,4581,89,"0"
"Brunei Darussalam",67.425,19839230769,0.402488745,9670,98,"0"
"Bhutan",45.464,1928719477,2.240726279,359,22.7934782608696,"0"
"Botswana",59.174,919726666.7,2.584210267,168,22.7934782608696,"0"
"Central African Republic",49.153,142246875.5,1.461760627,68,22.7934782608696,"0"
"Canada",75.07804878,42529485231.0127,-1.138353571,16,22.7934782608696,"1"
"Central Europe and the Baltics",69.8905098,6674567625,3.012525059,1602,22.7934782608696,"0"
"Switzerland",75.45926829,2.74e+11,1.289594978,62544,34.2857142857143,"1"
"Channel Islands",73.439,13495267730,1.14909636,4343.62985869565,22.7934782608696,"0"
"Chile",69.033,42529485231.0127,2.699663991,116,22.7934782608696,"1"
"China",66.844,42529485231.0127,0.559422126,4343.62985869565,22.7934782608696,"0"
"Cote d'Ivoire",51.072,1033002402,2.051817668,74,22.7934782608696,"0"
"Cameroon",51.537,42529485231.0127,0.400946238,4343.62985869565,22.7934782608696,"0"
"Congo, Dem. Rep.",46.363,29036709872,1.45077391,4705,93,"0"
"Congo, Rep.",54.226,1.91e+11,1.254221052,19941,22.7934782608696,"0"
"Colombia",66.926,33400735644,2.208220957,3924.3,16,"0"
"Comoros",50.615,212218226.4,3.430142555,9,22.7934782608696,"0"
"Cabo Verde",61.425,14394927495,2.673260096,4343.62985869565,22.7934782608696,"0"
"Costa Rica",72.113,1705796850,2.914326527,4343.62985869565,42,"0"
"Caribbean small states",68.08670901,4831447001,2.693426986,1002,86,"0"
"Cuba",73.794,10175615442,4.424822478,4343.62985869565,22.7934782608696,"0"
"Cyprus",74.79,42529485231.0127,0.108846981,4343.62985869565,22.7934782608696,"0"
"Czech Republic",70.27804878,19912889861,0.59680507,6505,67,"0"
"Germany",72.67790244,2154311277,0.790677744,1202,34,"1"
"Djibouti",53.639,42529485231.0127,0.115087338,4343.62985869565,22.7934782608696,"0"
"Denmark",74.10170732,71127528700,0.12160362,16749,88,"0"
"Algeria",58.198,6761300000,2.302839802,1964,36,"0"
"Ecuador",63.512,17881514683,2.600802437,2480.8,10,"0"
"Egypt, Arab Rep.",58.332,21669908177,2.434513082,4343.62985869565,57,"0"
"Eritrea",46.654,3573959900,1.758025876,967,44,"0"
"Spain",75.34926829,50642880.77,3.234219945,26,22.7934782608696,"1"
"Estonia",68.90563415,42529485231.0127,2.896653139,4343.62985869565,22.7934782608696,"0"
"Ethiopia",43.747,42529485231.0127,0.603352238,4343.62985869565,22.7934782608696,"0"
"Finland",73.44,542000513.6,3.379761349,369,22.7934782608696,"1"
"Fiji",63.997,42529485231.0127,1.878273259,425,22.7934782608696,"0"
"France",74.05121951,1202567359,2.184515811,470,68,"1"
"Micronesia, Fed. Sts.",62.331,53645202423,0.311078416,14150,92,"0"
"United Kingdom",73.67560976,1362151524,3.022426386,30,22.7934782608696,"1"
"Georgia",69.7,4279637934,2.445487178,674,22.7934782608696,"0"
"Ghana",52.277,241080708.9,3.26689988,4343.62985869565,63,"0"
"Guinea",41.3,42529485231.0127,0.842900505,4343.62985869565,22.7934782608696,"0"
"Guinea-Bissau",44.056,4445228216,2.294497688,1258,7,"0"
"Equatorial Guinea",44.127,56829664269,0.982220016,5153,72,"0"
"Greece",73.64714634,110900457,0.483013859,17,25,"0"
"Grenada",67.879,42529485231.0127,2.230503548,61,22.7934782608696,"0"
"Guatemala",57.272,7878700000,2.494654354,1519.83,43,"0"
"Guam",69.262,42529485231.0127,1.842927247,401,22.7934782608696,"0"
"Guyana",62.498,110653830.7,0.893347259,55,22.7934782608696,"0"
"Hong Kong SAR, China",74.67317073,603200000,0.500640337,396,35,"0"
"Honduras",59.632,1383800000,2.203511385,226,3,"0"
