"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Croatia",70.17536585,3968160046,3.08137564,830,28,"0"
"Haiti",51.009,28861759209,2.670080965,4343.62985869565,22.7934782608696,"0"
"Hungary",69.06170732,42529485231.0127,0.065093729,8610,99,"0"
"Indonesia",57.995,3381419043,1.058896411,998.855,99,"0"
"India",53.814,1.86e+11,2.309521943,8585.54,6,"0"
"Ireland",72.6232439,72482337370,2.359278708,10834,22.7934782608696,"0"
"Iran, Islamic Rep.",54.114,94362275580,3.724630349,4343.62985869565,32,"0"
"Iraq",59.882,5.26e+10,2.930012919,26349,14,"0"
"Iceland",76.84658537,21747855640,1.150818338,8398,34,"0"
"Israel",73.87560976,42529485231.0127,2.400950403,5538,84,"0"
"Italy",73.94317073,4.77e+11,0.205999752,100741,22.7934782608696,"0"
"Jamaica",70.793,2679409453,1.3993542,1171.34,24,"0"
"Japan",76.09170732,3910036925,3.199554805,574,30,"0"
"Kazakhstan",66.62439024,42529485231.0127,1.039721305,4343.62985869565,22.7934782608696,"0"
"Kenya",57.881,7265315332,3.846089434,1245,22.7934782608696,"0"
"Kyrgyz Republic",62.90378049,38715554.54,1.404515085,2.963,43,"0"
"Cambodia",27.536,42529485231.0127,1.362688373,4343.62985869565,50,"0"
"Kiribati",55.971,65398646758,1.558462678,4343.62985869565,22.7934782608696,"0"
"Korea, Rep.",66.04634146,28638550499,5.450476198,4343.62985869565,67,"0"
"Kuwait",69.693,42529485231.0127,1.824471061,4343.62985869565,22.7934782608696,"0"
"Latin America & Caribbean (excluding high income)",64.12203069,42529485231.0127,1.57201156,4343.62985869565,22.7934782608696,"0"
"Lao PDR",49.061,42529485231.0127,2.239752172,4343.62985869565,22.7934782608696,"0"
"Lebanon",67.952,42529485231.0127,2.27192442,4343.62985869565,22.7934782608696,"0"
"Liberia",46.053,42529485231.0127,0.229111155,4343.62985869565,22.7934782608696,"0"
"Libya",64.185,42529485231.0127,-0.07656609,4343.62985869565,22.7934782608696,"0"
"St. Lucia",68.144,431561376.5,2.844612838,58,56,"0"
"Latin America & Caribbean",64.65183763,42529485231.0127,3.221342564,600.4,22.7934782608696,"0"
"Sri Lanka",68.171,42529485231.0127,3.886948633,21910,60,"0"
"Lesotho",56.702,42529485231.0127,0.451032941,4343.62985869565,22.7934782608696,"0"
"Lithuania",70.48219512,6019805490,0.355980932,4343.62985869565,22.7934782608696,"0"
"Luxembourg",72.07260976,42529485231.0127,1.117164884,4343.62985869565,22.7934782608696,"0"
"Latvia",68.80853659,5201818349,2.873102936,600,22.7934782608696,"0"
"Macao SAR, China",73.974,1237655461,2.838907991,295,58,"0"
"Morocco",57.56,24488033442,2.480554217,10779.3,67,"0"
"Moldova",64.951,42463576.16,3.206853579,29,4,"0"
"Madagascar",49.005,1759687480,1.903943689,205,22.7934782608696,"0"
"Maldives",53.046,1250242108,1.048602675,938,22.7934782608696,"0"
"Mexico",66.553,1047924649,2.928932788,194,22.7934782608696,"0"
"Middle income",60.82743935,1131788192,1.686012316,431,89,"0"
"North Macedonia",68.65043902,2.05e+11,2.446184842,18031,44,"0"
"Mali",39.677,42529485231.0127,3.375689114,4343.62985869565,22.7934782608696,"0"
"Malta",73.07785366,42529485231.0127,1.959922034,4343.62985869565,22.7934782608696,"0"
"Myanmar",52.91,42529485231.0127,0.887324129,4343.62985869565,22.7934782608696,"0"
"Montenegro",72.87219512,42529485231.0127,2.598056385,548,76,"0"
"Mongolia",56.936,42529485231.0127,1.003961057,4343.62985869565,22.7934782608696,"0"
"Mozambique",43.515,21728770055,2.394953979,2441.25,22.7934782608696,"0"
"Mauritania",54.913,42529485231.0127,2.514445906,800,22.7934782608696,"0"
"Mauritius",66.96539024,1010596805,2.194641443,476.549,4,"0"
"Malawi",44.296,2422096075,2.135094115,1156,22.7934782608696,"0"
"Malaysia",68.117,1945916583,2.286646041,342.275,8,"0"
"North America",73.75243079,1.95e+11,0.791331808,73960,96,"0"
"Namibia",57.374,1182463959,1.112917608,456,22.7934782608696,"0"
"New Caledonia",66.5695122,23244547385,0.125363651,5472.48,76,"0"
"Niger",38.962,2189347368,2.924462293,451,16,"0"
"Nigeria",45.333,2508524186,2.883675708,566,22.7934782608696,"0"
"Nicaragua",58.347,64201788123,2.849255884,16660,22.7934782608696,"0"
"Netherlands",75.74317073,42529485231.0127,0.99674685,4343.62985869565,22.7934782608696,"0"
"Norway",75.67170732,42529485231.0127,1.122846577,4343.62985869565,22.7934782608696,"0"
"Nepal",46.776,64439382896,0.321225576,18542.6,22.7934782608696,"0"
"New Zealand",72.82926829,5981760278,5.567650719,1732,18,"0"
"Oman",59.758,23654444444,3.246335661,5350,2,"0"
"Pakistan",56.86,4614086400,2.413903519,1449.22,47,"0"
"Panama",70.192,2545983008,2.642003884,1031,32,"0"
"Peru",60.24,4448087302,2.755600786,615,17,"0"
"Philippines",63.677,18134029180,2.505649895,3898,16,"0"
"Papua New Guinea",52.735,36848242784,2.735465999,5741,47,"0"
"Poland",70.09756098,42529485231.0127,0.923267472,19120,96,"0"
"Puerto Rico",73.7002439,32896519824,1.081432067,9309,73,"0"
"Korea, Dem. People's Rep.",66.186,14436100000,1.189580284,4343.62985869565,22.7934782608696,"0"
"Paraguay",67.026,42529485231.0127,0.527314448,13200,22.7934782608696,"0"
"French Polynesia",64.576,42529485231.0127,0.70965548,4343.62985869565,22.7934782608696,"0"
"Qatar",72.869,1254765350,3.444869451,72,22.7934782608696,"0"
"Romania",69.09097561,42529485231.0127,0.504091159,17,29,"0"
"Russian Federation",67.03390244,42529485231.0127,2.462527866,4343.62985869565,22.7934782608696,"0"
"Saudi Arabia",62.863,4510107330,2.61464805,1052,22.7934782608696,"0"
"Sudan",54.253,1100685845,2.237873158,224,22.7934782608696,"0"
"Senegal",48.944,11896256783,1.269234299,19376,84,"0"
"Singapore",72.1902439,42529485231.0127,0.82353269,4343.62985869565,22.7934782608696,"0"
"Solomon Islands",62.453,42529485231.0127,0.989248309,4343.62985869565,22.7934782608696,"0"
"Sierra Leone",40.194,183170656.7,3.400924599,89,46,"0"
"Somalia",44.726,82980483388,2.587561923,19598,22.7934782608696,"0"
"South Sudan",39.033,42529485231.0127,2.950120833,4343.62985869565,22.7934782608696,"0"
"Sao Tome and Principe",59.928,2.33e+11,0.802963562,20720,34.2857142857143,"0"
"Suriname",65.575,4024621900,1.656208416,1061.9,46,"0"
"Slovak Republic",70.40853659,170370370.4,1.436069402,4343.62985869565,56,"0"
"Slovenia",71.10487805,82340339.63,0.916021689,4343.62985869565,26,"0"
"Sweden",75.74097561,7459833333,3.544166879,1576.38,1,"0"
"Eswatini",55.613,7.95e+08,0.196281299,504,25,"0"
"Syrian Arab Republic",65.774,1.42e+11,0.202996792,30906,99,"0"
"Chad",44.793,1.23e+11,0.397074419,36341,34.2857142857143,"0"
"Togo",52.339,13062420382,3.475798169,2108,13,"0"
"Thailand",64.432,42529485231.0127,2.882990355,4343.62985869565,22.7934782608696,"0"
"Tajikistan",57.108,42529485231.0127,3.078714871,1252,59,"0"
"Turkmenistan",60.999,32353440727,2.074615421,6505.41,49,"0"
"Timor-Leste",34.419,42529485231.0127,-0.408561041,4343.62985869565,22.7934782608696,"0"
"Tonga",66.889,1136408814,2.91403455,338,22.7934782608696,"0"
"Trinidad and Tobago",66.533,53260077.43,0.750393562,37.684,40,"0"
"Tunisia",61.999,6235833333,1.495253751,3177.67,26,"0"
"Turkiye",58.667,8744134354,2.59508638,3540,22.7934782608696,"0"
"Tanzania",50.288,42529485231.0127,2.0762173960163,4343.62985869565,42,"0"
"Uganda",50,42529485231.0127,2.49869316,4343.62985869565,22.7934782608696,"0"
"Ukraine",68.81782927,1244610000,3.028713022,293,22.7934782608696,"0"
"Uruguay",70.256,42529485231.0127,0.436999079,4343.62985869565,22.7934782608696,"0"
"Uzbekistan",64.637,5.65e+11,0.119517254,110134,41,"0"
"St. Vincent and the Grenadines",67.59,2.86e+12,0.959589923,4343.62985869565,96,"0"
"Venezuela, RB",68.542,10163020116,0.678225138,1059,53,"0"
"Virgin Islands (U.S.)",71.70012195,42529485231.0127,2.689071991,4343.62985869565,22.7934782608696,"0"
"Vietnam",67.542,121185497.6,2.678328421,35.87,22.7934782608696,"0"
"Vanuatu",59.961,59116511628,2.746701118,4343.62985869565,56,"0"
"World",62.84171583,42529485231.0127,2.209934262,4343.62985869565,22.7934782608696,"0"
"Samoa",63.567,42529485231.0127,3.527091819,4343.62985869565,22.7934782608696,"0"
"Yemen, Rep.",48.532,42529485231.0127,1.748661042,4343.62985869565,22.7934782608696,"0"
"South Africa",58.107,42529485231.0127,3.487554828,4343.62985869565,1,"0"
"Zambia",52.802,3829500000,3.400981744,1298,22.7934782608696,"0"
"Zimbabwe",59.731,6678868200,3.4132623,1414,22.7934782608696,"0"
